ItemId,Type_,BasePrice,items
150,Plate,11.3,"{Black Pepper Sirloin Steak,SweetFire Chicken Breast,Fried Rice,White Rice}"
151,Plate,11.3,"{Black Pepper Sirloin Steak,String Bean Chicken Breast,White Rice,White Rice}"
152,Plate,11.3,"{Black Pepper Sirloin Steak,Black Pepper Chicken,Super Greens,Super Greens}"
153,Plate,11.3,"{Honey Walnut Shrimp,Honey Walnut Shrimp,Super Greens,Chow Mein}"
154,Plate,11.3,"{Honey Walnut Shrimp,Teriyaki Chicken,Super Greens,Fried Rice}"
155,Plate,11.3,"{Honey Walnut Shrimp,Broccoli Beef,Super Greens,White Rice}"
156,Plate,11.3,"{Honey Walnut Shrimp,Kung Pao Chicken,Chow Mein,Chow Mein}"
157,Plate,11.3,"{Honey Walnut Shrimp,Honey Sesame Chicken Breast,Chow Mein,Fried Rice}"
158,Plate,11.3,"{Honey Walnut Shrimp,Beijing Beef,Chow Mein,White Rice}"
159,Plate,11.3,"{Honey Walnut Shrimp,Mushroom Chicken,Fried Rice,Fried Rice}"
160,Plate,11.3,"{Honey Walnut Shrimp,SweetFire Chicken Breast,Fried Rice,White Rice}"
161,Plate,11.3,"{Honey Walnut Shrimp,String Bean Chicken Breast,White Rice,White Rice}"
162,Plate,11.3,"{Honey Walnut Shrimp,Black Pepper Chicken,Super Greens,Super Greens}"
163,Plate,9.8,"{Teriyaki Chicken,Teriyaki Chicken,Super Greens,Chow Mein}"
164,Plate,9.8,"{Teriyaki Chicken,Broccoli Beef,Super Greens,Fried Rice}"
165,Plate,9.8,"{Teriyaki Chicken,Kung Pao Chicken,Super Greens,White Rice}"
166,Plate,9.8,"{Teriyaki Chicken,Honey Sesame Chicken Breast,Chow Mein,Chow Mein}"
167,Plate,9.8,"{Teriyaki Chicken,Beijing Beef,Chow Mein,Fried Rice}"
168,Plate,9.8,"{Teriyaki Chicken,Mushroom Chicken,Chow Mein,White Rice}"
169,Plate,9.8,"{Teriyaki Chicken,SweetFire Chicken Breast,Fried Rice,Fried Rice}"
170,Plate,9.8,"{Teriyaki Chicken,String Bean Chicken Breast,Fried Rice,White Rice}"
171,Plate,9.8,"{Teriyaki Chicken,Black Pepper Chicken,White Rice,White Rice}"
172,Plate,9.8,"{Broccoli Beef,Broccoli Beef,Super Greens,Super Greens}"
173,Plate,9.8,"{Broccoli Beef,Kung Pao Chicken,Super Greens,Chow Mein}"
174,Plate,9.8,"{Broccoli Beef,Honey Sesame Chicken Breast,Super Greens,Fried Rice}"
175,Plate,9.8,"{Broccoli Beef,Beijing Beef,Super Greens,White Rice}"
176,Plate,9.8,"{Broccoli Beef,Mushroom Chicken,Chow Mein,Chow Mein}"
177,Plate,9.8,"{Broccoli Beef,SweetFire Chicken Breast,Chow Mein,Fried Rice}"
178,Plate,9.8,"{Broccoli Beef,String Bean Chicken Breast,Chow Mein,White Rice}"
179,Plate,9.8,"{Broccoli Beef,Black Pepper Chicken,Fried Rice,Fried Rice}"
180,Plate,9.8,"{Kung Pao Chicken,Kung Pao Chicken,Fried Rice,White Rice}"
181,Plate,9.8,"{Kung Pao Chicken,Honey Sesame Chicken Breast,White Rice,White Rice}"
182,Plate,9.8,"{Kung Pao Chicken,Beijing Beef,Super Greens,Super Greens}"
183,Plate,9.8,"{Kung Pao Chicken,Mushroom Chicken,Super Greens,Chow Mein}"
184,Plate,9.8,"{Kung Pao Chicken,SweetFire Chicken Breast,Super Greens,Fried Rice}"
185,Plate,9.8,"{Kung Pao Chicken,String Bean Chicken Breast,Super Greens,White Rice}"
186,Plate,9.8,"{Kung Pao Chicken,Black Pepper Chicken,Chow Mein,Chow Mein}"
187,Plate,9.8,"{Honey Sesame Chicken Breast,Honey Sesame Chicken Breast,Chow Mein,Fried Rice}"
188,Plate,9.8,"{Honey Sesame Chicken Breast,Beijing Beef,Chow Mein,White Rice}"
189,Plate,9.8,"{Honey Sesame Chicken Breast,Mushroom Chicken,Fried Rice,Fried Rice}"
190,Plate,9.8,"{Honey Sesame Chicken Breast,SweetFire Chicken Breast,Fried Rice,White Rice}"
191,Plate,9.8,"{Honey Sesame Chicken Breast,String Bean Chicken Breast,White Rice,White Rice}"
192,Plate,9.8,"{Honey Sesame Chicken Breast,Black Pepper Chicken,Super Greens,Super Greens}"
193,Plate,9.8,"{Beijing Beef,Beijing Beef,Super Greens,Chow Mein}"
194,Plate,9.8,"{Beijing Beef,Mushroom Chicken,Super Greens,Fried Rice}"
195,Plate,9.8,"{Beijing Beef,SweetFire Chicken Breast,Super Greens,White Rice}"
196,Plate,9.8,"{Beijing Beef,String Bean Chicken Breast,Chow Mein,Chow Mein}"
197,Plate,9.8,"{Beijing Beef,Black Pepper Chicken,Chow Mein,Fried Rice}"
198,Plate,9.8,"{Mushroom Chicken,Mushroom Chicken,Chow Mein,White Rice}"
199,Plate,9.8,"{Mushroom Chicken,SweetFire Chicken Breast,Fried Rice,Fried Rice}"
200,Plate,9.8,"{Mushroom Chicken,String Bean Chicken Breast,Fried Rice,White Rice}"
201,Plate,9.8,"{Mushroom Chicken,Black Pepper Chicken,White Rice,White Rice}"
202,Plate,9.8,"{SweetFire Chicken Breast,SweetFire Chicken Breast,Super Greens,Super Greens}"
203,Plate,9.8,"{SweetFire Chicken Breast,String Bean Chicken Breast,Super Greens,Chow Mein}"
204,Plate,9.8,"{SweetFire Chicken Breast,Black Pepper Chicken,Super Greens,Fried Rice}"
205,Plate,9.8,"{String Bean Chicken Breast,String Bean Chicken Breast,Super Greens,White Rice}"
206,Plate,9.8,"{String Bean Chicken Breast,Black Pepper Chicken,Chow Mein,Chow Mein}"
207,Plate,9.8,"{Black Pepper Chicken,Black Pepper Chicken,Chow Mein,Fried Rice}"
208,Plate,9.8,"{Original Orange Chicken,Original Orange Chicken,Chow Mein,White Rice}"
209,Plate,11.3,"{Original Orange Chicken,Black Pepper Sirloin Steak,Fried Rice,Fried Rice}"
210,Plate,11.3,"{Original Orange Chicken,Honey Walnut Shrimp,Fried Rice,White Rice}"
211,Plate,9.8,"{Original Orange Chicken,Teriyaki Chicken,White Rice,White Rice}"
212,Plate,9.8,"{Original Orange Chicken,Broccoli Beef,Super Greens,Super Greens}"
213,Plate,9.8,"{Original Orange Chicken,Kung Pao Chicken,Super Greens,Chow Mein}"
214,Plate,9.8,"{Original Orange Chicken,Honey Sesame Chicken Breast,Super Greens,Fried Rice}"
215,Plate,9.8,"{Original Orange Chicken,Beijing Beef,Super Greens,White Rice}"
216,Plate,9.8,"{Original Orange Chicken,Mushroom Chicken,Chow Mein,Chow Mein}"
217,Plate,9.8,"{Original Orange Chicken,SweetFire Chicken Breast,Chow Mein,Fried Rice}"
218,Plate,9.8,"{Original Orange Chicken,String Bean Chicken Breast,Chow Mein,White Rice}"
219,Plate,9.8,"{Original Orange Chicken,Black Pepper Chicken,Fried Rice,Fried Rice}"
220,Plate,11.3,"{Black Pepper Sirloin Steak,Black Pepper Sirloin Steak,Fried Rice,White Rice}"
221,Plate,11.3,"{Black Pepper Sirloin Steak,Honey Walnut Shrimp,White Rice,White Rice}"
222,Plate,11.3,"{Black Pepper Sirloin Steak,Teriyaki Chicken,Super Greens,Super Greens}"
223,Plate,11.3,"{Black Pepper Sirloin Steak,Broccoli Beef,Super Greens,Chow Mein}"
224,Plate,11.3,"{Black Pepper Sirloin Steak,Kung Pao Chicken,Super Greens,Fried Rice}"
225,Plate,11.3,"{Black Pepper Sirloin Steak,Honey Sesame Chicken Breast,Super Greens,White Rice}"
226,Plate,11.3,"{Black Pepper Sirloin Steak,Beijing Beef,Chow Mein,Chow Mein}"
227,Plate,11.3,"{Black Pepper Sirloin Steak,Mushroom Chicken,Chow Mein,Fried Rice}"
228,Plate,11.3,"{Black Pepper Sirloin Steak,SweetFire Chicken Breast,Chow Mein,White Rice}"
229,Plate,11.3,"{Black Pepper Sirloin Steak,String Bean Chicken Breast,Fried Rice,Fried Rice}"
230,Plate,11.3,"{Black Pepper Sirloin Steak,Black Pepper Chicken,Fried Rice,White Rice}"
231,Plate,11.3,"{Honey Walnut Shrimp,Honey Walnut Shrimp,White Rice,White Rice}"
232,Plate,11.3,"{Honey Walnut Shrimp,Teriyaki Chicken,Super Greens,Super Greens}"
233,Plate,11.3,"{Honey Walnut Shrimp,Broccoli Beef,Super Greens,Chow Mein}"
234,Plate,11.3,"{Honey Walnut Shrimp,Kung Pao Chicken,Super Greens,Fried Rice}"
235,Plate,11.3,"{Honey Walnut Shrimp,Honey Sesame Chicken Breast,Super Greens,White Rice}"
236,Plate,11.3,"{Honey Walnut Shrimp,Beijing Beef,Chow Mein,Chow Mein}"
237,Plate,11.3,"{Honey Walnut Shrimp,Mushroom Chicken,Chow Mein,Fried Rice}"
238,Plate,11.3,"{Honey Walnut Shrimp,SweetFire Chicken Breast,Chow Mein,White Rice}"
239,Plate,11.3,"{Honey Walnut Shrimp,String Bean Chicken Breast,Fried Rice,Fried Rice}"
240,Plate,11.3,"{Honey Walnut Shrimp,Black Pepper Chicken,Fried Rice,White Rice}"
241,Plate,9.8,"{Teriyaki Chicken,Teriyaki Chicken,White Rice,White Rice}"
242,Plate,9.8,"{Teriyaki Chicken,Broccoli Beef,Super Greens,Super Greens}"
243,Plate,9.8,"{Teriyaki Chicken,Kung Pao Chicken,Super Greens,Chow Mein}"
244,Plate,9.8,"{Teriyaki Chicken,Honey Sesame Chicken Breast,Super Greens,Fried Rice}"
245,Plate,9.8,"{Teriyaki Chicken,Beijing Beef,Super Greens,White Rice}"
246,Plate,9.8,"{Teriyaki Chicken,Mushroom Chicken,Chow Mein,Chow Mein}"
247,Plate,9.8,"{Teriyaki Chicken,SweetFire Chicken Breast,Chow Mein,Fried Rice}"
248,Plate,9.8,"{Teriyaki Chicken,String Bean Chicken Breast,Chow Mein,White Rice}"
249,Plate,9.8,"{Teriyaki Chicken,Black Pepper Chicken,Fried Rice,Fried Rice}"
250,Plate,9.8,"{Broccoli Beef,Broccoli Beef,Fried Rice,White Rice}"
251,Plate,9.8,"{Broccoli Beef,Kung Pao Chicken,White Rice,White Rice}"
252,Plate,9.8,"{Broccoli Beef,Honey Sesame Chicken Breast,Super Greens,Super Greens}"
253,Plate,9.8,"{Broccoli Beef,Beijing Beef,Super Greens,Chow Mein}"
254,Plate,9.8,"{Broccoli Beef,Mushroom Chicken,Super Greens,Fried Rice}"
255,Plate,9.8,"{Broccoli Beef,SweetFire Chicken Breast,Super Greens,White Rice}"
256,Plate,9.8,"{Broccoli Beef,String Bean Chicken Breast,Chow Mein,Chow Mein}"
257,Plate,9.8,"{Broccoli Beef,Black Pepper Chicken,Chow Mein,Fried Rice}"
258,Plate,9.8,"{Kung Pao Chicken,Kung Pao Chicken,Chow Mein,White Rice}"
259,Plate,9.8,"{Kung Pao Chicken,Honey Sesame Chicken Breast,Fried Rice,Fried Rice}"
260,Plate,9.8,"{Kung Pao Chicken,Beijing Beef,Fried Rice,White Rice}"
261,Plate,9.8,"{Kung Pao Chicken,Mushroom Chicken,White Rice,White Rice}"
262,Plate,9.8,"{Kung Pao Chicken,SweetFire Chicken Breast,Super Greens,Super Greens}"
263,Plate,9.8,"{Kung Pao Chicken,String Bean Chicken Breast,Super Greens,Chow Mein}"
264,Plate,9.8,"{Kung Pao Chicken,Black Pepper Chicken,Super Greens,Fried Rice}"
265,Plate,9.8,"{Honey Sesame Chicken Breast,Honey Sesame Chicken Breast,Super Greens,White Rice}"
266,Plate,9.8,"{Honey Sesame Chicken Breast,Beijing Beef,Chow Mein,Chow Mein}"
267,Plate,9.8,"{Honey Sesame Chicken Breast,Mushroom Chicken,Chow Mein,Fried Rice}"
268,Plate,9.8,"{Honey Sesame Chicken Breast,SweetFire Chicken Breast,Chow Mein,White Rice}"
269,Plate,9.8,"{Honey Sesame Chicken Breast,String Bean Chicken Breast,Fried Rice,Fried Rice}"
270,Plate,9.8,"{Honey Sesame Chicken Breast,Black Pepper Chicken,Fried Rice,White Rice}"
271,Plate,9.8,"{Beijing Beef,Beijing Beef,White Rice,White Rice}"
272,Plate,9.8,"{Beijing Beef,Mushroom Chicken,Super Greens,Super Greens}"
273,Plate,9.8,"{Beijing Beef,SweetFire Chicken Breast,Super Greens,Chow Mein}"
274,Plate,9.8,"{Beijing Beef,String Bean Chicken Breast,Super Greens,Fried Rice}"
275,Plate,9.8,"{Beijing Beef,Black Pepper Chicken,Super Greens,White Rice}"
276,Plate,9.8,"{Mushroom Chicken,Mushroom Chicken,Chow Mein,Chow Mein}"
277,Plate,9.8,"{Mushroom Chicken,SweetFire Chicken Breast,Chow Mein,Fried Rice}"
278,Plate,9.8,"{Mushroom Chicken,String Bean Chicken Breast,Chow Mein,White Rice}"
279,Plate,9.8,"{Mushroom Chicken,Black Pepper Chicken,Fried Rice,Fried Rice}"
280,Plate,9.8,"{SweetFire Chicken Breast,SweetFire Chicken Breast,Fried Rice,White Rice}"
281,Plate,9.8,"{SweetFire Chicken Breast,String Bean Chicken Breast,White Rice,White Rice}"
282,Plate,9.8,"{SweetFire Chicken Breast,Black Pepper Chicken,Super Greens,Super Greens}"
283,Plate,9.8,"{String Bean Chicken Breast,String Bean Chicken Breast,Super Greens,Chow Mein}"
284,Plate,9.8,"{String Bean Chicken Breast,Black Pepper Chicken,Super Greens,Fried Rice}"
285,Plate,9.8,"{Black Pepper Chicken,Black Pepper Chicken,Super Greens,White Rice}"
286,Plate,9.8,"{Original Orange Chicken,Original Orange Chicken,Chow Mein,Chow Mein}"
287,Plate,11.3,"{Original Orange Chicken,Black Pepper Sirloin Steak,Chow Mein,Fried Rice}"
288,Plate,11.3,"{Original Orange Chicken,Honey Walnut Shrimp,Chow Mein,White Rice}"
289,Plate,9.8,"{Original Orange Chicken,Teriyaki Chicken,Fried Rice,Fried Rice}"
290,Plate,9.8,"{Original Orange Chicken,Broccoli Beef,Fried Rice,White Rice}"
291,Plate,9.8,"{Original Orange Chicken,Kung Pao Chicken,White Rice,White Rice}"
292,Plate,9.8,"{Original Orange Chicken,Honey Sesame Chicken Breast,Super Greens,Super Greens}"
293,Plate,9.8,"{Original Orange Chicken,Beijing Beef,Super Greens,Chow Mein}"
294,Plate,9.8,"{Original Orange Chicken,Mushroom Chicken,Super Greens,Fried Rice}"
295,Plate,9.8,"{Original Orange Chicken,SweetFire Chicken Breast,Super Greens,White Rice}"
296,Plate,9.8,"{Original Orange Chicken,String Bean Chicken Breast,Chow Mein,Chow Mein}"
297,Plate,9.8,"{Original Orange Chicken,Black Pepper Chicken,Chow Mein,Fried Rice}"
298,Plate,11.3,"{Black Pepper Sirloin Steak,Black Pepper Sirloin Steak,Chow Mein,White Rice}"
