orderid,totalcost,orderdate
57896,12.12,2024-10-18 15:38:55
57897,-1.00,2024-10-18 15:42:47
57898,-1.00,2024-10-18 15:43:05
57899,-1.00,2024-10-18 15:43:20
57900,-1.00,2024-10-18 15:49:20
57901,-1.00,2024-10-18 15:49:30
57902,-1.00,2024-10-18 15:49:39
57903,12.12,2024-10-18 16:22:44
57904,-1.00,2024-10-18 16:35:00
57905,12.12,2024-10-18 16:44:54
57906,12.12,2024-10-18 16:46:00
57907,12.12,2024-10-18 16:47:01
57908,-1.00,2024-10-18 16:49:47
57909,12.12,2024-10-18 16:50:46
57910,12.12,2024-10-18 20:58:13
57911,12.12,2024-10-18 21:00:11
57912,12.12,2024-10-18 21:00:29
57913,12.12,2024-10-18 21:05:20
57914,12.12,2024-10-18 21:05:31
57915,12.12,2024-10-18 21:06:46
57916,12.12,2024-10-18 21:09:38
57917,24.25,2024-10-18 21:10:18
57918,12.12,2024-10-18 21:12:19
57919,-1.00,2024-10-18 21:16:04
57920,12.12,2024-10-18 21:16:22
57921,12.12,2024-10-18 21:19:29
57922,24.25,2024-10-18 21:19:47
57923,12.12,2024-10-18 21:20:33
57924,12.12,2024-10-18 21:21:42
57925,24.25,2024-10-18 21:22:07
57926,0.00,2024-10-18 21:24:25
57927,0.00,2024-10-18 21:24:33
57928,0.00,2024-10-18 21:24:41
57929,0.00,2024-10-18 21:24:59
57930,0.00,2024-10-18 21:26:42
57931,-1.00,2024-10-18 21:27:33
57932,0.00,2024-10-18 21:30:11
57933,0.00,2024-10-18 21:30:19
57934,-1.00,2024-10-18 21:30:36
57935,0.00,2024-10-18 21:32:15
57936,0.00,2024-10-18 21:32:50
57937,0.00,2024-10-18 21:33:11
57938,0.00,2024-10-18 21:33:37
57939,0.00,2024-10-18 21:34:33
57940,0.00,2024-10-18 21:38:49
57941,0.00,2024-10-18 21:39:41
57942,0.00,2024-10-18 21:41:59
57943,0.00,2024-10-18 21:42:14
57944,0.00,2024-10-18 21:45:06
57945,0.00,2024-10-18 21:45:18
57946,0.00,2024-10-18 21:45:37
57947,0.00,2024-10-18 21:45:59
57948,0.00,2024-10-18 21:46:18
57949,0.00,2024-10-18 21:46:57
57950,0.00,2024-10-18 21:51:34
57951,0.00,2024-10-18 21:51:46
57952,0.00,2024-10-18 21:52:05
57953,0.00,2024-10-18 21:52:14
57954,0.00,2024-10-18 21:52:39
57955,4.40,2024-10-19 14:41:15
57956,4.40,2024-10-19 15:24:07
57957,4.40,2024-10-19 15:25:25
57958,4.40,2024-10-19 15:28:08
57959,4.40,2024-10-19 15:29:17
57960,5.40,2024-10-19 15:31:56
57961,9.80,2024-10-19 15:32:05
57962,4.40,2024-10-19 15:33:10
57963,-1.00,2024-10-19 16:08:13
57964,-1.00,2024-10-19 16:09:59
57965,0.00,2024-10-19 16:10:08
57966,-1.00,2024-10-19 16:14:11
57967,-1.00,2024-10-19 16:14:19
57968,-1.00,2024-10-19 16:16:16
57969,-1.00,2024-10-19 16:16:21
57970,12.12,2024-10-19 16:16:29
57971,4.40,2024-10-19 16:17:15
57972,10.00,2024-10-19 16:17:21
57973,4.40,2024-10-19 16:20:02
57974,12.12,2024-10-19 16:31:38
57975,12.12,2024-10-19 17:09:25
57976,12.23,2024-10-19 17:10:08
57977,12.12,2024-10-19 17:18:53
57978,38.00,2024-10-19 17:21:13
57979,0.00,2024-10-19 17:21:46
57980,-1.00,2024-10-19 18:12:28
57981,9.20,2024-10-19 18:12:54
57982,11.26,2024-10-19 18:38:54
57983,19.59,2024-10-19 18:42:45
57984,11.26,2024-10-19 19:03:16
57985,10.61,2024-10-19 19:03:47
57986,23.38,2024-10-19 19:04:08
57987,10.18,2024-10-19 19:17:49
57988,11.26,2024-10-19 19:18:10
57989,5.85,2024-10-19 19:18:33
57990,5.85,2024-10-19 19:19:22
0,11.30,2024-08-15 10:02:15
1,11.30,2024-08-15 10:04:30
2,12.70,2024-08-15 10:06:45
3,9.80,2024-08-15 10:09:00
4,11.30,2024-08-15 10:11:15
5,11.30,2024-08-15 10:13:30
6,12.70,2024-08-15 10:15:45
7,11.30,2024-08-15 10:18:00
8,12.70,2024-08-15 10:20:15
9,12.70,2024-08-15 10:22:30
10,36.70,2024-08-15 10:24:45
11,12.70,2024-08-15 10:27:00
12,11.30,2024-08-15 10:29:15
13,11.30,2024-08-15 10:31:30
14,12.70,2024-08-15 10:33:45
15,11.30,2024-08-15 10:36:00
16,11.30,2024-08-15 10:38:15
17,11.30,2024-08-15 10:40:30
18,11.30,2024-08-15 10:42:45
19,11.30,2024-08-15 10:45:00
20,12.70,2024-08-15 10:47:15
21,11.30,2024-08-15 10:49:30
22,11.30,2024-08-15 10:51:45
23,12.70,2024-08-15 10:54:00
24,12.70,2024-08-15 10:56:15
25,9.80,2024-08-15 10:58:30
26,12.70,2024-08-15 11:00:45
27,36.70,2024-08-15 11:03:00
28,11.30,2024-08-15 11:05:15
29,12.70,2024-08-15 11:07:30
30,12.70,2024-08-15 11:09:45
31,11.30,2024-08-15 11:12:00
32,12.70,2024-08-15 11:14:15
33,11.30,2024-08-15 11:16:30
34,12.70,2024-08-15 11:18:45
35,11.30,2024-08-15 11:21:00
36,11.30,2024-08-15 11:23:15
37,11.30,2024-08-15 11:25:30
38,24.00,2024-08-15 11:27:45
39,11.30,2024-08-15 11:30:00
40,12.70,2024-08-15 11:32:15
41,12.70,2024-08-15 11:34:30
42,11.30,2024-08-15 11:36:45
43,12.70,2024-08-15 11:39:00
44,11.30,2024-08-15 11:41:15
45,11.30,2024-08-15 11:43:30
46,11.30,2024-08-15 11:45:45
47,11.30,2024-08-15 11:48:00
48,11.30,2024-08-15 11:50:15
49,11.30,2024-08-15 11:52:30
50,12.70,2024-08-15 11:54:45
51,22.60,2024-08-15 11:57:00
52,12.70,2024-08-15 11:59:15
53,11.30,2024-08-15 12:01:30
54,12.70,2024-08-15 12:03:45
55,12.70,2024-08-15 12:06:00
56,12.70,2024-08-15 12:08:15
57,11.30,2024-08-15 12:10:30
58,11.30,2024-08-15 12:12:45
59,12.70,2024-08-15 12:15:00
60,12.70,2024-08-15 12:17:15
61,11.30,2024-08-15 12:19:30
62,11.30,2024-08-15 12:21:45
63,11.30,2024-08-15 12:24:00
64,12.70,2024-08-15 12:26:15
65,12.70,2024-08-15 12:28:30
66,9.80,2024-08-15 12:30:45
67,12.70,2024-08-15 12:33:00
68,11.30,2024-08-15 12:35:15
69,11.30,2024-08-15 12:37:30
70,12.70,2024-08-15 12:39:45
71,11.30,2024-08-15 12:42:00
72,11.30,2024-08-15 12:44:15
73,11.30,2024-08-15 12:46:30
74,9.80,2024-08-15 12:48:45
75,11.30,2024-08-15 12:51:00
76,11.30,2024-08-15 12:53:15
77,12.70,2024-08-15 12:55:30
78,12.70,2024-08-15 12:57:45
79,12.70,2024-08-15 13:00:00
80,11.30,2024-08-15 13:02:15
81,12.70,2024-08-15 13:04:30
82,11.30,2024-08-15 13:06:45
83,12.70,2024-08-15 13:09:00
84,9.80,2024-08-15 13:11:15
85,11.30,2024-08-15 13:13:30
86,36.70,2024-08-15 13:15:45
87,11.30,2024-08-15 13:18:00
88,11.30,2024-08-15 13:20:15
89,11.30,2024-08-15 13:22:30
90,12.70,2024-08-15 13:24:45
91,35.30,2024-08-15 13:27:00
92,11.30,2024-08-15 13:29:15
93,11.30,2024-08-15 13:31:30
94,9.80,2024-08-15 13:33:45
95,24.00,2024-08-15 13:36:00
96,12.70,2024-08-15 13:38:15
97,11.30,2024-08-15 13:40:30
98,25.40,2024-08-15 13:42:45
99,11.30,2024-08-15 13:45:00
100,11.30,2024-08-15 13:47:15
101,12.70,2024-08-15 13:49:30
102,11.30,2024-08-15 13:51:45
103,12.70,2024-08-15 13:54:00
104,12.70,2024-08-15 13:56:15
105,11.30,2024-08-15 13:58:30
106,12.70,2024-08-15 14:00:45
107,12.70,2024-08-15 14:03:00
108,11.30,2024-08-15 14:05:15
109,12.70,2024-08-15 14:07:30
110,12.70,2024-08-15 14:09:45
111,21.10,2024-08-15 14:12:00
112,11.30,2024-08-15 14:14:15
113,12.70,2024-08-15 14:16:30
114,12.70,2024-08-15 14:18:45
115,11.30,2024-08-15 14:21:00
116,11.30,2024-08-15 14:23:15
117,11.30,2024-08-15 14:25:30
118,12.70,2024-08-15 14:27:45
119,11.30,2024-08-15 14:30:00
120,35.30,2024-08-15 14:32:15
121,12.70,2024-08-15 14:34:30
122,12.70,2024-08-15 14:36:45
123,12.70,2024-08-15 14:39:00
124,22.60,2024-08-15 14:41:15
125,11.30,2024-08-15 14:43:30
126,12.70,2024-08-15 14:45:45
127,11.30,2024-08-15 14:48:00
128,11.30,2024-08-15 14:50:15
129,22.60,2024-08-15 14:52:30
130,11.30,2024-08-15 14:54:45
131,11.30,2024-08-15 14:57:00
132,11.30,2024-08-15 14:59:15
133,11.30,2024-08-15 15:01:30
134,11.30,2024-08-15 15:03:45
135,11.30,2024-08-15 15:06:00
136,24.00,2024-08-15 15:08:15
137,9.80,2024-08-15 15:10:30
138,11.30,2024-08-15 15:12:45
139,11.30,2024-08-15 15:15:00
140,12.70,2024-08-15 15:17:15
141,11.30,2024-08-15 15:19:30
142,25.40,2024-08-15 15:21:45
143,8.30,2024-08-15 15:24:00
144,11.30,2024-08-15 15:26:15
145,11.30,2024-08-15 15:28:30
146,11.30,2024-08-15 15:30:45
147,11.30,2024-08-15 15:33:00
148,11.30,2024-08-15 15:35:15
149,12.70,2024-08-15 15:37:30
150,11.30,2024-08-15 15:39:45
151,12.70,2024-08-15 15:42:00
152,11.30,2024-08-15 15:44:15
153,12.70,2024-08-15 15:46:30
154,12.70,2024-08-15 15:48:45
155,24.00,2024-08-15 15:51:00
156,12.70,2024-08-15 15:53:15
157,9.80,2024-08-15 15:55:30
158,11.30,2024-08-15 15:57:45
159,12.70,2024-08-15 16:00:00
160,12.70,2024-08-15 16:02:15
161,11.30,2024-08-15 16:04:30
162,9.80,2024-08-15 16:06:45
163,11.30,2024-08-15 16:09:00
164,12.70,2024-08-15 16:11:15
165,11.30,2024-08-15 16:13:30
166,12.70,2024-08-15 16:15:45
167,11.30,2024-08-15 16:18:00
168,11.30,2024-08-15 16:20:15
169,22.50,2024-08-15 16:22:30
170,11.30,2024-08-15 16:24:45
171,12.70,2024-08-15 16:27:00
172,9.80,2024-08-15 16:29:15
173,33.80,2024-08-15 16:31:30
174,12.70,2024-08-15 16:33:45
175,21.10,2024-08-15 16:36:00
176,9.80,2024-08-15 16:38:15
177,12.70,2024-08-15 16:40:30
178,11.30,2024-08-15 16:42:45
179,11.30,2024-08-15 16:45:00
180,11.30,2024-08-15 16:47:15
181,9.80,2024-08-15 16:49:30
182,12.70,2024-08-15 16:51:45
183,12.70,2024-08-15 16:54:00
184,11.30,2024-08-15 16:56:15
185,12.70,2024-08-15 16:58:30
186,11.30,2024-08-15 17:00:45
187,11.30,2024-08-15 17:03:00
188,11.30,2024-08-15 17:05:15
189,11.30,2024-08-15 17:07:30
190,12.70,2024-08-15 17:09:45
191,12.70,2024-08-15 17:12:00
192,11.30,2024-08-15 17:14:15
193,11.30,2024-08-15 17:16:30
194,11.30,2024-08-15 17:18:45
195,9.80,2024-08-15 17:21:00
196,35.30,2024-08-15 17:23:15
197,11.30,2024-08-15 17:25:30
198,12.70,2024-08-15 17:27:45
199,12.70,2024-08-15 17:30:00
200,12.70,2024-08-15 17:32:15
201,12.70,2024-08-15 17:34:30
202,12.70,2024-08-15 17:36:45
203,11.30,2024-08-15 17:39:00
204,12.70,2024-08-15 17:41:15
205,12.70,2024-08-15 17:43:30
206,11.30,2024-08-15 17:45:45
207,22.60,2024-08-15 17:48:00
208,8.30,2024-08-15 17:50:15
209,11.30,2024-08-15 17:52:30
210,11.30,2024-08-15 17:54:45
211,11.30,2024-08-15 17:57:00
212,12.70,2024-08-15 17:59:15
213,12.70,2024-08-15 18:01:30
214,11.30,2024-08-15 18:03:45
215,11.30,2024-08-15 18:06:00
216,11.30,2024-08-15 18:08:15
217,12.70,2024-08-15 18:10:30
218,12.70,2024-08-15 18:12:45
219,11.30,2024-08-15 18:15:00
220,11.30,2024-08-15 18:17:15
221,12.70,2024-08-15 18:19:30
222,12.70,2024-08-15 18:21:45
223,11.30,2024-08-15 18:24:00
224,9.80,2024-08-15 18:26:15
225,11.30,2024-08-15 18:28:30
226,11.30,2024-08-15 18:30:45
227,11.30,2024-08-15 18:33:00
228,12.70,2024-08-15 18:35:15
229,11.30,2024-08-15 18:37:30
230,12.70,2024-08-15 18:39:45
231,9.80,2024-08-15 18:42:00
232,11.30,2024-08-15 18:44:15
233,12.70,2024-08-15 18:46:30
234,11.30,2024-08-15 18:48:45
235,12.70,2024-08-15 18:51:00
236,12.70,2024-08-15 18:53:15
237,11.30,2024-08-15 18:55:30
238,11.30,2024-08-15 18:57:45
239,11.30,2024-08-15 19:00:00
240,11.30,2024-08-15 19:02:15
241,24.00,2024-08-15 19:04:30
242,11.30,2024-08-15 19:06:45
243,11.30,2024-08-15 19:09:00
244,11.30,2024-08-15 19:11:15
245,12.70,2024-08-15 19:13:30
246,11.30,2024-08-15 19:15:45
247,12.70,2024-08-15 19:18:00
248,9.80,2024-08-15 19:20:15
249,11.30,2024-08-15 19:22:30
250,11.30,2024-08-15 19:24:45
251,11.30,2024-08-15 19:27:00
252,12.70,2024-08-15 19:29:15
253,22.60,2024-08-15 19:31:30
254,12.70,2024-08-15 19:33:45
255,12.70,2024-08-15 19:36:00
256,11.30,2024-08-15 19:38:15
257,11.30,2024-08-15 19:40:30
258,11.30,2024-08-15 19:42:45
259,12.70,2024-08-15 19:45:00
260,11.30,2024-08-15 19:47:15
261,12.70,2024-08-15 19:49:30
262,12.70,2024-08-15 19:51:45
263,11.30,2024-08-15 19:54:00
264,12.70,2024-08-15 19:56:15
265,11.30,2024-08-15 19:58:30
266,11.30,2024-08-16 10:01:52
267,11.30,2024-08-16 10:03:44
268,11.30,2024-08-16 10:05:36
269,12.70,2024-08-16 10:07:28
270,11.30,2024-08-16 10:09:20
271,12.70,2024-08-16 10:11:12
272,9.80,2024-08-16 10:13:04
273,12.70,2024-08-16 10:14:56
274,9.80,2024-08-16 10:16:48
275,12.70,2024-08-16 10:18:40
276,11.30,2024-08-16 10:20:32
277,11.30,2024-08-16 10:22:24
278,11.30,2024-08-16 10:24:16
279,11.30,2024-08-16 10:26:08
280,25.40,2024-08-16 10:28:00
281,9.80,2024-08-16 10:29:52
282,11.30,2024-08-16 10:31:44
283,11.30,2024-08-16 10:33:36
284,12.70,2024-08-16 10:35:28
285,12.70,2024-08-16 10:37:20
286,11.30,2024-08-16 10:39:12
287,12.70,2024-08-16 10:41:04
288,11.30,2024-08-16 10:42:56
289,12.70,2024-08-16 10:44:48
290,12.70,2024-08-16 10:46:40
291,11.30,2024-08-16 10:48:32
292,12.70,2024-08-16 10:50:24
293,9.80,2024-08-16 10:52:16
294,11.30,2024-08-16 10:54:08
295,12.70,2024-08-16 10:56:00
296,12.70,2024-08-16 10:57:52
297,12.70,2024-08-16 10:59:44
298,11.30,2024-08-16 11:01:36
299,12.70,2024-08-16 11:03:28
300,11.30,2024-08-16 11:05:20
301,11.30,2024-08-16 11:07:12
302,9.80,2024-08-16 11:09:04
303,32.40,2024-08-16 11:10:56
304,11.30,2024-08-16 11:12:48
305,11.30,2024-08-16 11:14:40
306,11.30,2024-08-16 11:16:32
307,25.40,2024-08-16 11:18:24
308,9.80,2024-08-16 11:20:16
309,12.70,2024-08-16 11:22:08
310,12.70,2024-08-16 11:24:00
311,12.70,2024-08-16 11:25:52
312,11.30,2024-08-16 11:27:44
313,12.70,2024-08-16 11:29:36
314,12.70,2024-08-16 11:31:28
315,11.30,2024-08-16 11:33:20
316,11.30,2024-08-16 11:35:12
317,12.70,2024-08-16 11:37:04
318,9.80,2024-08-16 11:38:56
319,33.90,2024-08-16 11:40:48
320,12.70,2024-08-16 11:42:40
321,11.30,2024-08-16 11:44:32
322,12.70,2024-08-16 11:46:24
323,11.30,2024-08-16 11:48:16
324,11.30,2024-08-16 11:50:08
325,11.30,2024-08-16 11:52:00
326,11.30,2024-08-16 11:53:52
327,11.30,2024-08-16 11:55:44
328,11.30,2024-08-16 11:57:36
329,11.30,2024-08-16 11:59:28
330,33.90,2024-08-16 12:01:20
331,11.30,2024-08-16 12:03:12
332,12.70,2024-08-16 12:05:04
333,9.80,2024-08-16 12:06:56
334,11.30,2024-08-16 12:08:48
335,12.70,2024-08-16 12:10:40
336,12.70,2024-08-16 12:12:32
337,12.70,2024-08-16 12:14:24
338,12.70,2024-08-16 12:16:16
339,11.30,2024-08-16 12:18:08
340,22.50,2024-08-16 12:20:00
341,11.30,2024-08-16 12:21:52
342,11.30,2024-08-16 12:23:44
343,11.30,2024-08-16 12:25:36
344,9.80,2024-08-16 12:27:28
345,11.30,2024-08-16 12:29:20
346,11.30,2024-08-16 12:31:12
347,11.30,2024-08-16 12:33:04
348,12.70,2024-08-16 12:34:56
349,12.70,2024-08-16 12:36:48
350,11.30,2024-08-16 12:38:40
351,12.70,2024-08-16 12:40:32
352,12.70,2024-08-16 12:42:24
353,11.30,2024-08-16 12:44:16
354,11.30,2024-08-16 12:46:08
355,22.60,2024-08-16 12:48:00
356,9.80,2024-08-16 12:49:52
357,12.70,2024-08-16 12:51:44
358,11.30,2024-08-16 12:53:36
359,12.70,2024-08-16 12:55:28
360,11.30,2024-08-16 12:57:20
361,24.00,2024-08-16 12:59:12
362,11.30,2024-08-16 13:01:04
363,12.70,2024-08-16 13:02:56
364,12.70,2024-08-16 13:04:48
365,11.30,2024-08-16 13:06:40
366,12.70,2024-08-16 13:08:32
367,11.30,2024-08-16 13:10:24
368,9.80,2024-08-16 13:12:16
369,11.30,2024-08-16 13:14:08
370,9.80,2024-08-16 13:16:00
371,9.80,2024-08-16 13:17:52
372,11.30,2024-08-16 13:19:44
373,24.00,2024-08-16 13:21:36
374,11.30,2024-08-16 13:23:28
375,11.30,2024-08-16 13:25:20
376,12.70,2024-08-16 13:27:12
377,12.70,2024-08-16 13:29:04
378,11.30,2024-08-16 13:30:56
379,11.30,2024-08-16 13:32:48
380,11.30,2024-08-16 13:34:40
381,11.30,2024-08-16 13:36:32
382,11.30,2024-08-16 13:38:24
383,11.30,2024-08-16 13:40:16
384,12.70,2024-08-16 13:42:08
385,11.30,2024-08-16 13:44:00
386,12.70,2024-08-16 13:45:52
387,24.00,2024-08-16 13:47:44
388,11.30,2024-08-16 13:49:36
389,11.30,2024-08-16 13:51:28
390,11.30,2024-08-16 13:53:20
391,11.30,2024-08-16 13:55:12
392,11.30,2024-08-16 13:57:04
393,11.30,2024-08-16 13:58:56
394,24.00,2024-08-16 14:00:48
395,11.30,2024-08-16 14:02:40
396,11.30,2024-08-16 14:04:32
397,22.60,2024-08-16 14:06:24
398,11.30,2024-08-16 14:08:16
399,11.30,2024-08-16 14:10:08
400,12.70,2024-08-16 14:12:00
401,11.30,2024-08-16 14:13:52
402,12.70,2024-08-16 14:15:44
403,12.70,2024-08-16 14:17:36
404,9.80,2024-08-16 14:19:28
405,11.30,2024-08-16 14:21:20
406,12.70,2024-08-16 14:23:12
407,11.30,2024-08-16 14:25:04
408,12.70,2024-08-16 14:26:56
409,12.70,2024-08-16 14:28:48
410,12.70,2024-08-16 14:30:40
411,11.30,2024-08-16 14:32:32
412,11.30,2024-08-16 14:34:24
413,11.30,2024-08-16 14:36:16
414,11.30,2024-08-16 14:38:08
415,9.80,2024-08-16 14:40:00
416,12.70,2024-08-16 14:41:52
417,12.70,2024-08-16 14:43:44
418,12.70,2024-08-16 14:45:36
419,11.30,2024-08-16 14:47:28
420,12.70,2024-08-16 14:49:20
421,11.30,2024-08-16 14:51:12
422,36.70,2024-08-16 14:53:04
423,12.70,2024-08-16 14:54:56
424,11.30,2024-08-16 14:56:48
425,11.30,2024-08-16 14:58:40
426,12.70,2024-08-16 15:00:32
427,11.30,2024-08-16 15:02:24
428,11.30,2024-08-16 15:04:16
429,11.30,2024-08-16 15:06:08
430,12.70,2024-08-16 15:08:00
431,12.70,2024-08-16 15:09:52
432,11.30,2024-08-16 15:11:44
433,12.70,2024-08-16 15:13:36
434,11.30,2024-08-16 15:15:28
435,11.30,2024-08-16 15:17:20
436,11.30,2024-08-16 15:19:12
437,11.30,2024-08-16 15:21:04
438,11.30,2024-08-16 15:22:56
439,11.30,2024-08-16 15:24:48
440,11.30,2024-08-16 15:26:40
441,11.30,2024-08-16 15:28:32
442,11.30,2024-08-16 15:30:24
443,12.70,2024-08-16 15:32:16
444,9.80,2024-08-16 15:34:08
445,12.70,2024-08-16 15:36:00
446,11.30,2024-08-16 15:37:52
447,22.60,2024-08-16 15:39:44
448,11.30,2024-08-16 15:41:36
449,11.30,2024-08-16 15:43:28
450,12.70,2024-08-16 15:45:20
451,12.70,2024-08-16 15:47:12
452,11.30,2024-08-16 15:49:04
453,21.10,2024-08-16 15:50:56
454,24.00,2024-08-16 15:52:48
455,11.30,2024-08-16 15:54:40
456,11.30,2024-08-16 15:56:32
457,12.70,2024-08-16 15:58:24
458,11.30,2024-08-16 16:00:16
459,12.70,2024-08-16 16:02:08
460,11.30,2024-08-16 16:04:00
461,12.70,2024-08-16 16:05:52
462,11.30,2024-08-16 16:07:44
463,11.30,2024-08-16 16:09:36
464,11.30,2024-08-16 16:11:28
465,12.70,2024-08-16 16:13:20
466,12.70,2024-08-16 16:15:12
467,12.70,2024-08-16 16:17:04
468,9.80,2024-08-16 16:18:56
469,12.70,2024-08-16 16:20:48
470,11.30,2024-08-16 16:22:40
471,11.30,2024-08-16 16:24:32
472,12.70,2024-08-16 16:26:24
473,12.70,2024-08-16 16:28:16
474,9.80,2024-08-16 16:30:08
475,11.30,2024-08-16 16:32:00
476,12.70,2024-08-16 16:33:52
477,11.30,2024-08-16 16:35:44
478,11.30,2024-08-16 16:37:36
479,12.70,2024-08-16 16:39:28
480,9.80,2024-08-16 16:41:20
481,12.70,2024-08-16 16:43:12
482,12.70,2024-08-16 16:45:04
483,12.70,2024-08-16 16:46:56
484,11.30,2024-08-16 16:48:48
485,11.30,2024-08-16 16:50:40
486,12.70,2024-08-16 16:52:32
487,9.80,2024-08-16 16:54:24
488,12.70,2024-08-16 16:56:16
489,11.30,2024-08-16 16:58:08
490,11.30,2024-08-16 17:00:00
491,12.70,2024-08-16 17:01:52
492,12.70,2024-08-16 17:03:44
493,11.30,2024-08-16 17:05:36
494,12.70,2024-08-16 17:07:28
495,12.70,2024-08-16 17:09:20
496,12.70,2024-08-16 17:11:12
497,11.30,2024-08-16 17:13:04
498,11.30,2024-08-16 17:14:56
499,22.60,2024-08-16 17:16:48
500,12.70,2024-08-16 17:18:40
501,11.30,2024-08-16 17:20:32
502,36.70,2024-08-16 17:22:24
503,11.30,2024-08-16 17:24:16
504,11.30,2024-08-16 17:26:08
505,12.70,2024-08-16 17:28:00
506,11.30,2024-08-16 17:29:52
507,12.70,2024-08-16 17:31:44
508,30.90,2024-08-16 17:33:36
509,11.30,2024-08-16 17:35:28
510,11.30,2024-08-16 17:37:20
511,12.70,2024-08-16 17:39:12
512,12.70,2024-08-16 17:41:04
513,24.00,2024-08-16 17:42:56
514,11.30,2024-08-16 17:44:48
515,22.60,2024-08-16 17:46:40
516,22.60,2024-08-16 17:48:32
517,11.30,2024-08-16 17:50:24
518,11.30,2024-08-16 17:52:16
519,12.70,2024-08-16 17:54:08
520,9.80,2024-08-16 17:56:00
521,11.30,2024-08-16 17:57:52
522,11.30,2024-08-16 17:59:44
523,19.60,2024-08-16 18:01:36
524,12.70,2024-08-16 18:03:28
525,9.80,2024-08-16 18:05:20
526,12.70,2024-08-16 18:07:12
527,12.70,2024-08-16 18:09:04
528,11.30,2024-08-16 18:10:56
529,11.30,2024-08-16 18:12:48
530,9.80,2024-08-16 18:14:40
531,11.30,2024-08-16 18:16:32
532,11.30,2024-08-16 18:18:24
533,9.80,2024-08-16 18:20:16
534,11.30,2024-08-16 18:22:08
535,12.70,2024-08-16 18:24:00
536,24.00,2024-08-16 18:25:52
537,12.70,2024-08-16 18:27:44
538,12.70,2024-08-16 18:29:36
539,11.30,2024-08-16 18:31:28
540,11.30,2024-08-16 18:33:20
541,11.30,2024-08-16 18:35:12
542,12.70,2024-08-16 18:37:04
543,12.70,2024-08-16 18:38:56
544,11.30,2024-08-16 18:40:48
545,11.30,2024-08-16 18:42:40
546,12.70,2024-08-16 18:44:32
547,12.70,2024-08-16 18:46:24
548,9.80,2024-08-16 18:48:16
