orderid,item,itemid
57984,30037,315
57985,30061,316
57986,30041,317
57986,30041,318
57986,30041,319
57986,30041,320
57987,30055,321
57987,30042,322
57988,30055,323
57988,30039,324
57989,30041,325
57990,30041,326
0,4354,327
1,961,328
2,4848,329
3,559,330
4,3878,331
5,3610,332
6,3106,333
7,1399,334
8,896,335
9,3472,336
10,3788,337
10,5306,338
10,4107,339
11,3306,340
12,159,341
13,1774,342
14,4099,343
15,4971,344
16,5089,345
17,1327,346
18,3203,347
19,4076,348
20,1616,349
21,3857,350
22,2963,351
23,891,352
24,2705,353
25,523,354
26,4480,355
27,1090,356
27,4149,357
27,4154,358
28,3123,359
29,1980,360
30,2303,361
31,4299,362
32,1190,363
33,3251,364
34,1267,365
35,4241,366
36,3700,367
37,2092,368
38,4104,369
38,4268,370
39,4658,371
40,2944,372
41,3719,373
42,2178,374
43,4450,375
44,2954,376
45,2105,377
46,3578,378
47,3650,379
48,1390,380
49,621,381
50,3018,382
51,2987,383
51,3518,384
52,1909,385
53,2126,386
54,3763,387
55,2549,388
56,3450,389
57,5107,390
58,4580,391
59,5117,392
60,5202,393
61,1498,394
62,3901,395
63,3904,396
64,1844,397
65,4397,398
66,560,399
67,1969,400
68,4726,401
69,1161,402
70,3451,403
71,1460,404
72,1054,405
73,4079,406
74,375,407
75,5089,408
76,4655,409
77,3786,410
78,1229,411
79,2005,412
80,2172,413
81,1977,414
82,2904,415
83,2744,416
84,204,417
85,4675,418
86,892,419
86,2321,420
86,4595,421
87,3115,422
88,67,423
89,1082,424
90,5233,425
91,5014,426
91,3385,427
91,3595,428
92,2624,429
93,2760,430
94,477,431
95,3210,432
95,3367,433
96,5232,434
97,5167,435
98,3002,436
98,4818,437
99,1335,438
100,1868,439
101,2734,440
102,1867,441
103,3771,442
104,5225,443
105,1791,444
106,2343,445
107,3456,446
108,1086,447
109,1585,448
110,3373,449
111,789,450
112,2476,451
113,4143,452
114,4029,453
115,2037,454
116,3566,455
117,4436,456
118,5110,457
119,3975,458
120,2275,459
120,3198,460
120,150,461
121,3011,462
122,1898,463
123,1217,464
124,4419,465
124,2456,466
125,1801,467
126,4870,468
127,2811,469
128,1515,470
129,4294,471
129,2785,472
130,4328,473
131,2518,474
132,3499,475
133,4270,476
134,5073,477
135,4679,478
136,854,479
136,1831,480
137,252,481
138,4362,482
139,2980,483
140,3384,484
141,1453,485
142,2300,486
142,4517,487
143,18,488
144,4803,489
145,4995,490
146,4429,491
147,4996,492
148,4211,493
149,5213,494
150,1347,495
151,2315,496
152,67,497
153,4453,498
154,1912,499
155,4858,500
155,1511,501
156,2745,502
157,501,503
158,1890,504
159,853,505
160,1171,506
161,4735,507
162,507,508
163,1746,509
164,3104,510
165,3598,511
166,1471,512
167,5297,513
168,465,514
169,807,515
170,3331,516
171,2631,517
172,674,518
173,1277,519
173,336,520
173,4583,521
174,4120,522
175,787,523
176,289,524
177,1229,525
178,4315,526
179,4241,527
180,303,528
181,520,529
182,1111,530
183,2942,531
184,2774,532
185,3747,533
186,4688,534
187,2037,535
188,2461,536
189,2165,537
190,4923,538
191,4892,539
192,1792,540
193,3613,541
194,3143,542
195,569,543
196,1512,544
196,1961,545
196,3638,546
197,5168,547
198,4166,548
199,4493,549
200,832,550
201,2666,551
202,4016,552
203,1141,553
204,2288,554
205,5186,555
206,4414,556
207,308,557
207,3269,558
208,48,559
209,956,560
210,2595,561
211,4629,562
212,2706,563
213,3813,564
214,1722,565
215,4572,566
216,1134,567
217,4199,568
218,2721,569
219,1512,570
220,229,571
221,4930,572
222,1593,573
223,72,574
224,187,575
225,5057,576
226,1416,577
227,2473,578
228,4558,579
229,5030,580
230,4734,581
231,687,582
232,222,583
233,1993,584
234,4238,585
235,1183,586
236,4927,587
237,2436,588
238,2599,589
239,2078,590
240,3853,591
241,3018,592
241,5166,593
242,3156,594
243,460,595
244,2117,596
245,5257,597
246,2537,598
247,2700,599
248,138,600
249,2585,601
250,705,602
251,2769,603
252,1105,604
253,4441,605
253,4348,606
254,3017,607
255,5277,608
256,4703,609
257,3223,610
258,3676,611
259,1839,612
260,2020,613
261,859,614
262,3807,615
263,1807,616
264,4158,617
265,4364,618
266,4663,619
267,5147,620
268,2814,621
269,2298,622
270,3510,623
271,5250,624
272,130,625
273,1278,626
274,372,627
275,3832,628
276,4943,629
277,5305,630
278,3527,631
279,4671,632
280,2682,633
280,5174,634
281,723,635
282,71,636
283,972,637
284,4751,638
285,2570,639
286,1897,640
287,4475,641
288,1657,642
289,4382,643
290,1997,644
291,2105,645
292,2369,646
293,113,647
294,4651,648
295,1907,649
296,2306,650
297,5118,651
298,4774,652
299,1261,653
300,3996,654
301,4364,655
302,713,656
303,480,657
303,3224,658
303,1894,659
304,3906,660
305,2386,661
306,67,662
307,4106,663
307,4842,664
308,502,665
309,2338,666
310,4930,667
311,3358,668
312,1883,669
313,3383,670
314,3426,671
315,3688,672
316,1823,673
317,5216,674
318,49,675
319,2406,676
319,1735,677
319,4583,678
320,3459,679
321,3513,680
322,1620,681
323,3563,682
324,3637,683
325,1079,684
326,2146,685
327,4779,686
328,4297,687
329,2853,688
330,3136,689
330,3245,690
330,3535,691
331,5032,692
332,3837,693
333,359,694
334,4214,695
335,3436,696
336,4543,697
337,3354,698
338,5225,699
339,2840,700
340,819,701
341,3184,702
342,2467,703
343,1386,704
344,163,705
345,4574,706
346,1028,707
347,5325,708
348,1111,709
349,2626,710
350,1133,711
351,2699,712
352,1272,713
353,4947,714
354,2516,715
355,1335,716
355,1052,717
356,732,718
357,5283,719
358,3279,720
359,1974,721
360,4688,722
361,1554,723
361,223,724
362,2050,725
363,2940,726
364,1486,727
365,2115,728
366,1555,729
367,2537,730
368,321,731
369,383,732
370,662,733
371,197,734
372,5002,735
373,4154,736
373,4437,737
374,3949,738
375,3889,739
376,4733,740
377,3447,741
378,4634,742
379,3606,743
380,1525,744
381,4657,745
382,4341,746
383,3630,747
384,1914,748
385,2762,749
386,1935,750
387,2692,751
387,3945,752
388,4785,753
389,5153,754
390,1665,755
391,5013,756
392,2243,757
393,4069,758
394,4034,759
394,4801,760
395,4323,761
396,4804,762
397,5106,763
397,2772,764
398,1661,765
399,4737,766
400,5231,767
401,2557,768
402,2571,769
403,5272,770
404,324,771
405,1808,772
406,3304,773
407,3994,774
408,2725,775
409,2016,776
410,1170,777
411,3618,778
412,1749,779
413,3262,780
414,53,781
415,736,782
416,3465,783
417,3660,784
418,2660,785
419,3630,786
420,4856,787
421,2922,788
422,3294,789
422,5239,790
422,2801,791
423,2732,792
424,3497,793
425,4945,794
426,4450,795
427,1149,796
428,1671,797
429,1797,798
430,2665,799
431,1115,800
432,2820,801
433,3456,802
434,4595,803
435,3483,804
436,3842,805
437,2521,806
438,4932,807
439,5070,808
440,4363,809
441,2764,810
442,2404,811
443,4121,812
444,484,813
445,4835,814
446,365,815
447,4283,816
447,4936,817
448,2602,818
449,3526,819
450,3300,820
451,843,821
452,5322,822
453,652,823
453,4376,824
454,1455,825
454,2574,826
455,2594,827
456,4235,828
457,2715,829
458,1793,830
459,4914,831
460,210,832
461,1199,833
462,4051,834
463,4723,835
464,4613,836
465,1280,837
466,4915,838
467,2572,839
468,122,840
469,2929,841
470,82,842
471,3518,843
472,1613,844
473,2724,845
474,344,846
475,3701,847
476,5226,848
477,4972,849
478,1854,850
479,4491,851
480,672,852
481,3000,853
482,3046,854
483,2735,855
484,3134,856
485,1754,857
486,4488,858
487,336,859
488,1611,860
489,3864,861
490,3893,862
491,4563,863
492,2636,864
493,462,865
494,2570,866
495,1470,867
496,4131,868
497,2260,869
498,4008,870
499,4631,871
499,1857,872
500,2730,873
501,1523,874
502,2674,875
502,1464,876
502,3033,877
503,5170,878
504,2039,879
505,4913,880
506,5073,881
507,2937,882
508,648,883
508,3627,884
508,99,885
509,464,886
510,156,887
511,5274,888
512,5109,889
513,4085,890
513,2444,891
514,1166,892
515,5307,893
515,3340,894
516,4445,895
516,4987,896
517,2095,897
518,1530,898
519,1205,899
520,88,900
521,624,901
522,4038,902
523,136,903
523,96,904
524,3294,905
525,335,906
526,2286,907
527,2634,908
528,5030,909
529,3328,910
530,654,911
531,3502,912
532,2442,913
533,513,914
534,2443,915
535,4850,916
536,4259,917
536,4930,918
537,1847,919
538,5237,920
539,3645,921
540,1399,922
541,1454,923
542,5258,924
543,4561,925
544,1676,926
545,4946,927
546,2746,928
547,1939,929
548,753,930
549,3419,931
550,5111,932
551,2967,933
552,3533,934
553,5191,935
554,2873,936
555,3950,937
556,3981,938
557,4331,939
558,2375,940
558,770,941
559,2839,942
560,2696,943
561,4350,944
562,2033,945
563,895,946
563,5257,947
563,158,948
564,3023,949
565,1058,950
566,2521,951
567,2189,952
568,2621,953
569,5245,954
570,2392,955
571,291,956
572,505,957
573,1865,958
574,1463,959
575,1699,960
576,1205,961
577,5038,962
578,4127,963
578,5151,964
579,2246,965
579,3949,966
580,1704,967
581,2285,968
582,57,969
583,819,970
584,5248,971
585,2513,972
586,5176,973
587,2046,974
588,744,975
589,725,976
590,1885,977
591,4711,978
592,3820,979
593,3018,980
594,448,981
595,1152,982
596,4757,983
597,3324,984
598,3191,985
599,1327,986
600,2967,987
601,456,988
602,2210,989
603,5274,990
604,4714,991
605,1022,992
606,986,993
607,4080,994
608,1708,995
609,758,996
610,5296,997
611,827,998
612,2430,999
613,3289,1000
614,4424,1001
615,1666,1002
616,4952,1003
617,3909,1004
618,2052,1005
619,4828,1006
620,3923,1007
621,3610,1008
622,3183,1009
623,2759,1010
624,1419,1011
625,3553,1012
626,2198,1013
627,467,1014
628,3772,1015
629,1020,1016
630,3549,1017
631,3629,1018
632,903,1019
633,3114,1020
634,4284,1021
635,1782,1022
636,4060,1023
637,1094,1024
638,2495,1025
639,5274,1026
640,1975,1027
641,870,1028
642,4641,1029
643,4306,1030
643,3949,1031
644,2299,1032
645,333,1033
646,2987,1034
647,2777,1035
647,4650,1036
648,748,1037
649,4472,1038
650,434,1039
651,2488,1040
652,1916,1041
653,2468,1042
654,1601,1043
655,437,1044
656,1558,1045
656,2912,1046
657,3697,1047
658,136,1048
659,4120,1049
660,1662,1050
661,732,1051
662,5085,1052
663,1024,1053
664,4861,1054
665,259,1055
666,1178,1056
667,4524,1057
668,1598,1058
669,381,1059
669,3379,1060
670,4839,1061
671,705,1062
672,2952,1063
673,3966,1064
674,2274,1065
675,150,1066
676,83,1067
676,102,1068
676,1898,1069
677,521,1070
678,236,1071
679,699,1072
679,1645,1073
679,3872,1074
680,1860,1075
681,1823,1076
682,240,1077
683,1603,1078
684,5039,1079
685,1716,1080
686,4646,1081
687,4408,1082
688,1991,1083
689,1161,1084
690,1708,1085
691,4458,1086
692,1716,1087
693,3001,1088
694,4576,1089
695,1763,1090
696,1039,1091
697,3387,1092
698,8,1093
699,1303,1094
700,3029,1095
701,1640,1096
702,717,1097
703,3304,1098
704,4860,1099
705,2641,1100
706,2594,1101
707,1281,1102
707,3387,1103
708,1189,1104
709,3799,1105
710,3375,1106
711,355,1107
712,3324,1108
713,4495,1109
714,1780,1110
714,1949,1111
715,3847,1112
716,5248,1113
716,4266,1114
717,2796,1115
718,3218,1116
719,1028,1117
720,4131,1118
720,4017,1119
721,435,1120
722,4016,1121
723,3515,1122
724,3181,1123
725,404,1124
726,3378,1125
726,5061,1126
727,50,1127
728,3468,1128
729,949,1129
730,1208,1130
731,2368,1131
732,2008,1132
733,3922,1133
734,1670,1134
735,4594,1135
736,1446,1136
737,1610,1137
738,2256,1138
739,1868,1139
740,2337,1140
741,2899,1141
742,645,1142
743,2603,1143
744,4650,1144
745,5026,1145
746,512,1146
747,2184,1147
748,4276,1148
749,4415,1149
750,3875,1150
751,1407,1151
751,3584,1152
752,1607,1153
753,4909,1154
754,3918,1155
755,2096,1156
756,3984,1157
757,4500,1158
758,5279,1159
759,2111,1160
760,1157,1161
761,4596,1162
762,1596,1163
762,1066,1164
763,673,1165
764,1995,1166
765,2893,1167
766,4893,1168
767,1401,1169
768,1463,1170
769,4394,1171
770,4089,1172
771,4157,1173
772,74,1174
773,1174,1175
774,1830,1176
775,3659,1177
776,3719,1178
777,3003,1179
778,265,1180
779,3949,1181
780,2490,1182
781,4224,1183
782,243,1184
783,308,1185
784,513,1186
785,1882,1187
786,2182,1188
787,385,1189
788,913,1190
789,1962,1191
790,886,1192
791,4873,1193
792,3891,1194
793,3590,1195
794,5267,1196
795,4061,1197
796,3139,1198
797,3401,1199
798,1785,1200
799,1458,1201
800,2964,1202
801,2730,1203
802,2825,1204
803,320,1205
804,3134,1206
805,3819,1207
806,4831,1208
807,144,1209
808,3374,1210
809,3643,1211
810,3560,1212
811,146,1213
811,5285,1214
811,2185,1215
812,3518,1216
813,4811,1217
814,5036,1218
815,5208,1219
816,4293,1220
817,784,1221
818,4856,1222
819,2899,1223
820,5061,1224
821,1044,1225
822,1887,1226
823,2508,1227
824,2815,1228
825,1555,1229
826,4569,1230
827,287,1231
827,2211,1232
828,4199,1233
829,293,1234
830,3481,1235
831,4081,1236
832,2700,1237
833,1785,1238
834,4136,1239
835,3796,1240
836,5237,1241
837,1981,1242
838,3136,1243
839,3428,1244
840,4885,1245
841,859,1246
842,3078,1247
843,1992,1248
844,3997,1249
845,5233,1250
846,2727,1251
847,5202,1252
848,2799,1253
849,3486,1254
850,542,1255
851,1526,1256
852,2490,1257
853,719,1258
853,2260,1259
854,2985,1260
855,121,1261
856,3473,1262
857,368,1263
858,524,1264
859,4038,1265
860,51,1266
861,2712,1267
862,1614,1268
862,4967,1269
863,469,1270
864,189,1271
865,4456,1272
866,4259,1273
867,360,1274
868,1553,1275
869,68,1276
870,4869,1277
871,4941,1278
872,2094,1279
873,1319,1280
874,1144,1281
875,2162,1282
876,3351,1283
877,2752,1284
878,155,1285
879,3988,1286
880,935,1287
881,1999,1288
882,1811,1289
883,1191,1290
884,4397,1291
885,1506,1292
886,4960,1293
887,3326,1294
888,262,1295
889,1321,1296
890,1574,1297
891,4932,1298
892,3520,1299
893,328,1300
894,2743,1301
894,496,1302
895,1553,1303
896,2136,1304
897,3615,1305
898,4672,1306
899,887,1307
900,3307,1308
900,3663,1309
900,4079,1310
901,4437,1311
902,3775,1312
903,3468,1313
904,1954,1314
905,4011,1315
906,3172,1316
907,5317,1317
908,3002,1318
909,2427,1319
910,748,1320
910,2404,1321
911,2718,1322
912,3007,1323
913,839,1324
914,1069,1325
915,3867,1326
916,4695,1327
917,4680,1328
918,1078,1329
919,714,1330
920,4135,1331
921,4406,1332
922,2876,1333
923,2715,1334
924,4270,1335
925,5252,1336
926,4030,1337
927,5176,1338
928,702,1339
929,3650,1340
930,844,1341
931,4885,1342
932,4064,1343
933,4793,1344
934,2557,1345
935,141,1346
936,2142,1347
937,3030,1348
938,5261,1349
939,2476,1350
940,1225,1351
941,892,1352
942,683,1353
943,1572,1354
944,4689,1355
945,2751,1356
946,1598,1357
947,1199,1358
948,2057,1359
949,650,1360
950,3152,1361
951,4389,1362
952,4756,1363
953,2899,1364
954,440,1365
954,3614,1366
954,378,1367
955,4418,1368
956,2922,1369
957,4170,1370
958,1418,1371
959,4257,1372
960,3076,1373
961,2755,1374
961,2508,1375
962,713,1376
963,3044,1377
964,1175,1378
965,313,1379
965,3813,1380
965,3477,1381
966,3023,1382
967,1901,1383
968,4651,1384
969,1073,1385
970,1080,1386
971,4585,1387
972,692,1388
973,1869,1389
974,2585,1390
974,4461,1391
975,1173,1392
976,806,1393
977,281,1394
978,1088,1395
979,4754,1396
980,4644,1397
981,37,1398
981,1907,1399
981,3242,1400
982,4887,1401
983,3452,1402
984,884,1403
985,2294,1404
985,528,1405
985,3550,1406
986,4127,1407
987,4212,1408
988,715,1409
989,4275,1410
990,4420,1411
991,4603,1412
992,1832,1413
993,4440,1414
994,3390,1415
995,3924,1416
996,1600,1417
996,5218,1418
997,134,1419
998,1981,1420
999,4429,1421
1000,3077,1422
1000,3314,1423
1001,3390,1424
1002,1823,1425
1003,3057,1426
1004,1430,1427
1005,3362,1428
1005,95,1429
1005,4873,1430
1006,880,1431
1007,2017,1432
1007,2177,1433
1007,3909,1434
1008,2279,1435
1009,2893,1436
1010,1751,1437
1010,4279,1438
1011,918,1439
1012,3345,1440
1012,4549,1441
1012,1358,1442
1013,2827,1443
1014,2465,1444
1015,1985,1445
1016,85,1446
1017,3646,1447
1018,4376,1448
1019,2125,1449
1020,4647,1450
1021,203,1451
1022,5082,1452
1023,1359,1453
1024,3601,1454
1025,1507,1455
1026,3720,1456
1027,4587,1457
1028,384,1458
1029,861,1459
1030,2872,1460
1030,147,1461
1031,4167,1462
1032,3425,1463
1033,4708,1464
1034,772,1465
1035,2492,1466
1036,3022,1467
1037,2209,1468
1037,4268,1469
1038,3835,1470
1039,643,1471
1040,2810,1472
1041,1251,1473
1042,2239,1474
1043,2833,1475
1044,1163,1476
1045,3979,1477
1046,1496,1478
1047,3329,1479
1048,1805,1480
1049,743,1481
1050,2584,1482
1051,4544,1483
1052,2637,1484
1053,2629,1485
1054,4003,1486
1055,3792,1487
1056,5122,1488
1057,2120,1489
1058,3191,1490
1059,3278,1491
1060,620,1492
1061,862,1493
1062,1943,1494
1063,4055,1495
1064,2139,1496
1064,957,1497
1065,294,1498
1066,1732,1499
1067,2976,1500
1068,804,1501
1069,4597,1502
1070,1203,1503
1071,1223,1504
1072,3488,1505
1073,693,1506
1074,4003,1507
1075,4634,1508
1076,5240,1509
1077,2462,1510
1078,2910,1511
1079,1643,1512
1080,3008,1513
1081,5145,1514
1082,5197,1515
1082,5296,1516
1083,5110,1517
1084,818,1518
1085,1365,1519
1086,4387,1520
1087,1045,1521
1088,5092,1522
1089,2863,1523
1090,2358,1524
1091,2409,1525
1092,2490,1526
1093,4837,1527
1094,4235,1528
1095,4102,1529
1096,2752,1530
1097,1909,1531
1098,409,1532
1099,2349,1533
1100,1021,1534
1101,5256,1535
1102,1985,1536
1103,3504,1537
1104,2957,1538
1105,258,1539
1105,4139,1540
1106,3735,1541
1107,2312,1542
1108,4320,1543
1109,4267,1544
1109,3427,1545
1110,3779,1546
1111,1003,1547
1112,2927,1548
1113,3998,1549
1114,2932,1550
1115,1962,1551
1116,2262,1552
1117,3840,1553
1118,4621,1554
1118,2476,1555
1119,910,1556
1120,4183,1557
1121,2531,1558
1122,4366,1559
1123,4,1560
1124,1081,1561
1125,2397,1562
1126,5241,1563
1127,2403,1564
1128,146,1565
1129,1051,1566
1130,4526,1567
1131,2070,1568
1132,4554,1569
1133,3554,1570
1134,356,1571
1135,2016,1572
1136,3386,1573
1137,4081,1574
1138,1791,1575
1138,169,1576
1138,1475,1577
1139,504,1578
1140,5131,1579
1141,2121,1580
1142,1839,1581
1142,4174,1582
1143,1798,1583
1144,4436,1584
1145,1339,1585
1146,3964,1586
1147,3038,1587
1148,4508,1588
1149,4953,1589
1150,3370,1590
1150,4867,1591
1151,2575,1592
1152,4047,1593
1153,2803,1594
1154,3837,1595
1155,4128,1596
1156,5092,1597
1157,1861,1598
1157,4947,1599
1158,341,1600
1159,769,1601
1160,3836,1602
1161,670,1603
1162,1714,1604
1163,539,1605
1164,3873,1606
1165,4614,1607
1166,1469,1608
1167,2975,1609
1168,1518,1610
1169,4707,1611
1170,895,1612
1171,472,1613
1172,2358,1614
1173,1278,1615
1174,5030,1616
1175,1705,1617
1176,2041,1618
1177,1270,1619
1178,746,1620
1179,1231,1621
1180,2387,1622
1181,3380,1623
1182,430,1624
1183,3385,1625
1184,1460,1626
1185,1489,1627
1186,1600,1628
1187,1433,1629
1188,3293,1630
1189,991,1631
1190,4179,1632
1191,1685,1633
1192,5081,1634
1192,972,1635
1192,1169,1636
1193,494,1637
1194,3090,1638
1195,3679,1639
1196,4506,1640
1197,691,1641
1198,494,1642
1199,180,1643
1200,1995,1644
1201,2215,1645
1202,20,1646
1203,1394,1647
1204,3450,1648
1205,2106,1649
1206,4656,1650
1207,3180,1651
1208,3621,1652
1209,2632,1653
1210,4900,1654
1211,2512,1655
1212,3597,1656
1213,4155,1657
1214,4543,1658
1215,1216,1659
1216,4873,1660
1217,2916,1661
1218,453,1662
1219,2566,1663
1220,1114,1664
1221,2659,1665
1222,397,1666
1222,1992,1667
1223,804,1668
1224,3364,1669
1225,4718,1670
1226,3956,1671
1227,4286,1672
1228,721,1673
1229,1405,1674
1230,490,1675
1231,804,1676
1232,63,1677
1233,1763,1678
1234,4298,1679
1235,1385,1680
1236,2740,1681
1237,448,1682
1238,903,1683
1239,3697,1684
1240,783,1685
1241,2947,1686
1242,4387,1687
1243,3234,1688
1244,4311,1689
1245,2061,1690
1246,4516,1691
1247,3402,1692
1248,4295,1693
1249,1517,1694
1250,5165,1695
1251,4695,1696
1252,2808,1697
1253,1643,1698
1254,3726,1699
1255,2645,1700
1256,3960,1701
1257,1779,1702
1258,428,1703
1259,1270,1704
1260,1975,1705
1261,3586,1706
1262,4522,1707
1263,2321,1708
1264,5013,1709
1265,1893,1710
1265,1755,1711
1266,1053,1712
1267,2033,1713
1268,2190,1714
1269,419,1715
1270,1515,1716
1271,407,1717
1272,4601,1718
1273,2270,1719
1274,2800,1720
1275,1176,1721
1275,4817,1722
1276,3286,1723
1277,5118,1724
1278,1720,1725
1279,1699,1726
1280,3969,1727
1281,1303,1728
1282,1228,1729
1283,4973,1730
1284,1873,1731
1285,2749,1732
1286,1696,1733
1287,3528,1734
1288,233,1735
1289,2375,1736
1290,4254,1737
1291,5229,1738
1291,1400,1739
1292,4165,1740
1293,4994,1741
1294,743,1742
1295,113,1743
1296,4331,1744
1297,4877,1745
1298,1482,1746
1299,2757,1747
1300,4250,1748
1301,3849,1749
1302,1269,1750
1303,3946,1751
1304,5206,1752
1305,1869,1753
1305,745,1754
1306,950,1755
1307,2756,1756
1308,1832,1757
1309,2762,1758
1310,1571,1759
1311,2780,1760
1312,806,1761
1313,3502,1762
1314,3082,1763
1315,3095,1764
1316,4156,1765
1317,1945,1766
1318,3079,1767
1319,2568,1768
1320,3244,1769
1321,4833,1770
1322,3796,1771
1322,5023,1772
1322,4455,1773
1323,2912,1774
1324,66,1775
1325,4832,1776
1325,2412,1777
1326,281,1778
1327,2872,1779
1328,3891,1780
1329,4775,1781
1330,58,1782
1331,510,1783
1332,1092,1784
1333,4413,1785
1334,1037,1786
1335,4731,1787
1336,604,1788
1337,2964,1789
1337,2470,1790
1338,1280,1791
1339,736,1792
1340,94,1793
1341,4005,1794
1342,944,1795
1343,3050,1796
1344,953,1797
1345,358,1798
1346,4607,1799
1347,2162,1800
1348,804,1801
1349,1117,1802
1350,4781,1803
1350,4208,1804
1351,849,1805
1352,4550,1806
1353,95,1807
1354,4878,1808
1355,1542,1809
1356,2214,1810
1357,695,1811
1358,3872,1812
1359,3750,1813
1360,2397,1814
1361,125,1815
1362,52,1816
1363,5091,1817
1364,191,1818
