itemid,type,baseprice
157,Plate,9.80
158,Plate,9.80
159,Plate,9.80
160,Plate,9.80
161,Plate,9.80
162,Plate,9.80
163,Plate,9.80
164,Plate,9.80
165,Plate,9.80
166,Plate,9.80
167,Plate,9.80
168,Plate,9.80
169,Plate,9.80
170,Plate,9.80
171,Plate,9.80
172,Plate,9.80
173,Plate,9.80
174,Plate,9.80
175,Plate,9.80
176,Plate,9.80
177,Plate,9.80
178,Plate,9.80
179,Plate,9.80
180,Plate,9.80
181,Plate,9.80
182,Plate,9.80
183,Plate,9.80
184,Plate,9.80
185,Plate,9.80
186,Plate,9.80
187,Plate,9.80
188,Plate,9.80
189,Plate,9.80
190,Plate,9.80
191,Plate,9.80
192,Plate,9.80
193,Plate,9.80
194,Plate,9.80
195,Plate,9.80
196,Plate,9.80
197,Plate,9.80
198,Plate,9.80
199,Plate,9.80
200,Plate,9.80
201,Plate,9.80
202,Plate,9.80
203,Plate,9.80
204,Plate,9.80
205,Plate,9.80
206,Plate,9.80
207,Plate,9.80
208,Plate,9.80
209,Plate,9.80
210,Plate,9.80
211,Plate,9.80
212,Plate,9.80
213,Plate,9.80
214,Plate,9.80
215,Plate,9.80
216,Plate,9.80
217,Plate,9.80
218,Plate,9.80
219,Plate,9.80
220,Plate,9.80
221,Plate,9.80
222,Plate,9.80
223,Plate,9.80
224,Plate,9.80
225,Plate,9.80
226,Plate,9.80
227,Plate,9.80
228,Plate,9.80
229,Plate,9.80
230,Plate,9.80
231,Plate,9.80
232,Plate,9.80
233,Plate,9.80
234,Plate,9.80
235,Plate,9.80
236,Plate,9.80
237,Plate,9.80
238,Plate,9.80
239,Plate,9.80
240,Plate,11.30
241,Plate,11.30
242,Plate,11.30
243,Plate,11.30
244,Plate,11.30
245,Plate,11.30
246,Plate,11.30
247,Plate,11.30
248,Plate,11.30
249,Plate,11.30
250,Plate,11.30
251,Plate,11.30
252,Plate,11.30
253,Plate,11.30
254,Plate,11.30
255,Plate,11.30
256,Plate,11.30
257,Plate,11.30
258,Plate,11.30
259,Plate,11.30
260,Plate,11.30
261,Plate,11.30
262,Plate,11.30
263,Plate,11.30
264,Plate,11.30
265,Plate,11.30
266,Plate,11.30
267,Plate,11.30
268,Plate,11.30
269,Plate,11.30
270,Plate,11.30
271,Plate,11.30
272,Plate,11.30
273,Plate,11.30
274,Plate,11.30
275,Plate,11.30
276,Plate,11.30
277,Plate,11.30
278,Plate,11.30
279,Plate,11.30
280,Plate,11.30
281,Plate,11.30
282,Plate,11.30
283,Plate,11.30
284,Plate,11.30
285,Plate,11.30
286,Plate,11.30
287,Plate,11.30
288,Plate,11.30
289,Plate,11.30
290,Plate,11.30
291,Plate,11.30
292,Plate,11.30
293,Plate,11.30
294,Plate,11.30
295,Plate,11.30
296,Plate,11.30
297,Plate,11.30
298,Plate,11.30
299,Plate,11.30
300,Plate,11.30
301,Plate,11.30
302,Plate,11.30
303,Plate,11.30
304,Plate,11.30
305,Plate,11.30
306,Plate,11.30
307,Plate,11.30
308,Plate,11.30
309,Plate,11.30
310,Plate,11.30
311,Plate,11.30
312,Plate,11.30
313,Plate,11.30
314,Plate,11.30
315,Plate,11.30
316,Plate,11.30
317,Plate,11.30
318,Plate,11.30
319,Plate,11.30
320,Plate,11.30
321,Plate,11.30
322,Plate,11.30
323,Plate,11.30
324,Plate,11.30
325,Plate,11.30
326,Plate,11.30
327,Plate,11.30
328,Plate,11.30
329,Plate,11.30
330,Plate,11.30
331,Plate,11.30
332,Plate,11.30
333,Plate,11.30
334,Plate,11.30
335,Plate,11.30
336,Plate,11.30
337,Plate,11.30
338,Plate,11.30
339,Plate,11.30
340,Plate,11.30
341,Plate,11.30
342,Plate,11.30
343,Plate,11.30
344,Plate,11.30
345,Plate,11.30
346,Plate,11.30
347,Plate,11.30
348,Plate,11.30
349,Plate,11.30
350,Plate,11.30
351,Plate,11.30
352,Plate,11.30
353,Plate,11.30
354,Plate,11.30
355,Plate,11.30
356,Plate,11.30
357,Plate,11.30
358,Plate,11.30
359,Plate,11.30
360,Plate,11.30
361,Plate,11.30
362,Plate,11.30
363,Plate,11.30
364,Plate,11.30
365,Plate,11.30
366,Plate,11.30
367,Plate,11.30
368,Plate,11.30
369,Plate,11.30
370,Plate,11.30
371,Plate,11.30
372,Plate,11.30
373,Plate,11.30
374,Plate,11.30
375,Plate,11.30
376,Plate,11.30
377,Plate,11.30
378,Plate,11.30
379,Plate,11.30
380,Plate,11.30
381,Plate,11.30
382,Plate,11.30
383,Plate,11.30
384,Plate,11.30
385,Plate,11.30
386,Plate,11.30
387,Plate,11.30
388,Plate,11.30
389,Plate,11.30
390,Plate,11.30
391,Plate,11.30
392,Plate,11.30
393,Plate,11.30
394,Plate,11.30
395,Plate,11.30
396,Plate,11.30
397,Plate,11.30
398,Plate,11.30
399,Plate,11.30
400,Plate,11.30
401,Plate,11.30
402,Plate,11.30
403,Plate,11.30
404,Plate,11.30
405,Plate,11.30
406,Plate,11.30
407,Plate,11.30
408,Plate,11.30
409,Plate,11.30
410,Plate,11.30
411,Plate,11.30
412,Plate,11.30
413,Plate,11.30
414,Plate,11.30
415,Plate,11.30
416,Plate,11.30
417,Plate,11.30
418,Plate,11.30
419,Plate,11.30
420,Plate,11.30
421,Plate,11.30
422,Plate,11.30
423,Plate,11.30
424,Plate,11.30
425,Plate,11.30
426,Plate,11.30
427,Plate,11.30
428,Plate,11.30
429,Plate,11.30
430,Plate,11.30
431,Plate,11.30
432,Plate,11.30
433,Plate,11.30
434,Plate,11.30
435,Plate,11.30
436,Plate,11.30
437,Plate,11.30
438,Plate,11.30
1440,Plate,9.80
439,Plate,11.30
440,Plate,11.30
441,Plate,11.30
442,Plate,11.30
443,Plate,11.30
444,Plate,11.30
445,Plate,11.30
446,Plate,11.30
447,Plate,11.30
448,Plate,11.30
449,Plate,11.30
450,Plate,11.30
451,Plate,11.30
452,Plate,11.30
453,Plate,11.30
454,Plate,11.30
455,Plate,11.30
456,Plate,11.30
457,Plate,11.30
458,Plate,11.30
459,Plate,11.30
460,Plate,11.30
461,Plate,11.30
462,Plate,11.30
463,Plate,11.30
464,Plate,11.30
465,Plate,11.30
466,Plate,11.30
467,Plate,11.30
468,Plate,11.30
469,Plate,11.30
470,Plate,11.30
471,Plate,11.30
472,Plate,11.30
473,Plate,11.30
474,Plate,11.30
475,Plate,11.30
476,Plate,11.30
477,Plate,11.30
478,Plate,11.30
479,Plate,11.30
480,Plate,11.30
481,Plate,11.30
482,Plate,11.30
483,Plate,11.30
484,Plate,11.30
485,Plate,11.30
486,Plate,11.30
487,Plate,11.30
488,Plate,11.30
489,Plate,11.30
490,Plate,11.30
491,Plate,11.30
492,Plate,11.30
493,Plate,11.30
494,Plate,11.30
495,Plate,11.30
496,Plate,11.30
497,Plate,11.30
498,Plate,11.30
499,Plate,11.30
500,Plate,11.30
501,Plate,11.30
502,Plate,11.30
503,Plate,11.30
504,Plate,11.30
505,Plate,11.30
506,Plate,11.30
507,Plate,11.30
508,Plate,11.30
509,Plate,11.30
510,Plate,11.30
511,Plate,11.30
512,Plate,11.30
513,Plate,11.30
514,Plate,11.30
515,Plate,11.30
516,Plate,11.30
517,Plate,11.30
518,Plate,11.30
519,Plate,11.30
520,Plate,11.30
521,Plate,11.30
522,Plate,11.30
523,Plate,11.30
524,Plate,11.30
525,Plate,11.30
526,Plate,11.30
527,Plate,11.30
528,Plate,11.30
529,Plate,11.30
530,Plate,11.30
531,Plate,11.30
532,Plate,11.30
533,Plate,11.30
534,Plate,11.30
535,Plate,11.30
536,Plate,11.30
537,Plate,11.30
538,Plate,11.30
539,Plate,11.30
540,Plate,11.30
541,Plate,11.30
542,Plate,11.30
543,Plate,11.30
544,Plate,11.30
545,Plate,11.30
546,Plate,11.30
547,Plate,11.30
548,Plate,11.30
549,Plate,11.30
550,Plate,11.30
551,Plate,11.30
552,Plate,11.30
553,Plate,11.30
554,Plate,11.30
555,Plate,11.30
556,Plate,11.30
557,Plate,11.30
558,Plate,11.30
559,Plate,11.30
560,Plate,11.30
561,Plate,11.30
562,Plate,11.30
563,Plate,11.30
564,Plate,11.30
565,Plate,11.30
566,Plate,11.30
567,Plate,11.30
568,Plate,11.30
569,Plate,11.30
570,Plate,11.30
571,Plate,11.30
572,Plate,11.30
573,Plate,11.30
574,Plate,11.30
575,Plate,11.30
576,Plate,11.30
577,Plate,11.30
578,Plate,11.30
579,Plate,11.30
580,Plate,11.30
581,Plate,11.30
582,Plate,11.30
583,Plate,11.30
584,Plate,11.30
585,Plate,11.30
586,Plate,11.30
587,Plate,11.30
588,Plate,11.30
589,Plate,11.30
590,Plate,11.30
591,Plate,11.30
592,Plate,11.30
593,Plate,11.30
594,Plate,11.30
595,Plate,11.30
596,Plate,11.30
597,Plate,11.30
598,Plate,11.30
599,Plate,11.30
600,Plate,11.30
601,Plate,11.30
602,Plate,11.30
603,Plate,11.30
604,Plate,11.30
1441,Plate,9.80
605,Plate,11.30
606,Plate,11.30
607,Plate,11.30
608,Plate,11.30
609,Plate,11.30
610,Plate,11.30
611,Plate,11.30
612,Plate,11.30
613,Plate,11.30
614,Plate,11.30
615,Plate,11.30
616,Plate,11.30
617,Plate,11.30
618,Plate,11.30
619,Plate,11.30
620,Plate,11.30
621,Plate,11.30
622,Plate,11.30
623,Plate,11.30
624,Plate,9.80
625,Plate,9.80
626,Plate,9.80
627,Plate,9.80
628,Plate,9.80
629,Plate,9.80
630,Plate,9.80
631,Plate,9.80
632,Plate,9.80
633,Plate,9.80
634,Plate,9.80
635,Plate,9.80
636,Plate,9.80
637,Plate,9.80
638,Plate,9.80
639,Plate,9.80
640,Plate,11.30
641,Plate,11.30
642,Plate,11.30
643,Plate,11.30
644,Plate,11.30
645,Plate,11.30
646,Plate,11.30
647,Plate,11.30
648,Plate,11.30
649,Plate,11.30
650,Plate,11.30
651,Plate,11.30
652,Plate,11.30
653,Plate,11.30
654,Plate,11.30
655,Plate,11.30
656,Plate,11.30
657,Plate,11.30
658,Plate,11.30
659,Plate,11.30
660,Plate,11.30
661,Plate,11.30
662,Plate,11.30
663,Plate,11.30
664,Plate,11.30
665,Plate,11.30
666,Plate,11.30
667,Plate,11.30
668,Plate,11.30
669,Plate,11.30
670,Plate,11.30
671,Plate,11.30
672,Plate,9.80
673,Plate,9.80
674,Plate,9.80
675,Plate,9.80
676,Plate,9.80
677,Plate,9.80
678,Plate,9.80
679,Plate,9.80
680,Plate,9.80
681,Plate,9.80
682,Plate,9.80
683,Plate,9.80
684,Plate,9.80
685,Plate,9.80
686,Plate,9.80
687,Plate,9.80
688,Plate,9.80
689,Plate,9.80
690,Plate,9.80
691,Plate,9.80
692,Plate,9.80
693,Plate,9.80
694,Plate,9.80
695,Plate,9.80
696,Plate,9.80
697,Plate,9.80
698,Plate,9.80
699,Plate,9.80
700,Plate,9.80
701,Plate,9.80
702,Plate,9.80
703,Plate,9.80
704,Plate,9.80
705,Plate,9.80
706,Plate,9.80
707,Plate,9.80
708,Plate,9.80
709,Plate,9.80
710,Plate,9.80
711,Plate,9.80
712,Plate,9.80
713,Plate,9.80
714,Plate,9.80
715,Plate,9.80
716,Plate,9.80
717,Plate,9.80
718,Plate,9.80
719,Plate,9.80
720,Plate,9.80
721,Plate,9.80
722,Plate,9.80
723,Plate,9.80
724,Plate,9.80
725,Plate,9.80
726,Plate,9.80
727,Plate,9.80
728,Plate,9.80
729,Plate,9.80
730,Plate,9.80
731,Plate,9.80
732,Plate,9.80
733,Plate,9.80
734,Plate,9.80
735,Plate,9.80
736,Plate,9.80
737,Plate,9.80
738,Plate,9.80
739,Plate,9.80
740,Plate,9.80
741,Plate,9.80
742,Plate,9.80
743,Plate,9.80
744,Plate,9.80
745,Plate,9.80
746,Plate,9.80
747,Plate,9.80
748,Plate,9.80
749,Plate,9.80
750,Plate,9.80
751,Plate,9.80
752,Plate,9.80
753,Plate,9.80
754,Plate,9.80
755,Plate,9.80
756,Plate,9.80
757,Plate,9.80
758,Plate,9.80
759,Plate,9.80
760,Plate,9.80
761,Plate,9.80
762,Plate,9.80
763,Plate,9.80
764,Plate,9.80
765,Plate,9.80
766,Plate,9.80
767,Plate,9.80
768,Plate,9.80
769,Plate,9.80
770,Plate,9.80
771,Plate,9.80
772,Plate,9.80
773,Plate,9.80
774,Plate,9.80
1442,Plate,9.80
775,Plate,9.80
776,Plate,9.80
777,Plate,9.80
778,Plate,9.80
779,Plate,9.80
780,Plate,9.80
781,Plate,9.80
782,Plate,9.80
783,Plate,9.80
784,Plate,9.80
785,Plate,9.80
786,Plate,9.80
787,Plate,9.80
788,Plate,9.80
789,Plate,9.80
790,Plate,9.80
791,Plate,9.80
792,Plate,9.80
793,Plate,9.80
794,Plate,9.80
795,Plate,9.80
796,Plate,9.80
797,Plate,9.80
798,Plate,9.80
799,Plate,9.80
800,Plate,9.80
801,Plate,9.80
802,Plate,9.80
803,Plate,9.80
804,Plate,9.80
805,Plate,9.80
806,Plate,9.80
807,Plate,9.80
808,Plate,9.80
809,Plate,9.80
810,Plate,9.80
811,Plate,9.80
812,Plate,9.80
813,Plate,9.80
814,Plate,9.80
815,Plate,9.80
816,Plate,9.80
817,Plate,9.80
818,Plate,9.80
819,Plate,9.80
820,Plate,9.80
821,Plate,9.80
822,Plate,9.80
823,Plate,9.80
824,Plate,9.80
825,Plate,9.80
826,Plate,9.80
827,Plate,9.80
828,Plate,9.80
829,Plate,9.80
830,Plate,9.80
831,Plate,9.80
832,Plate,11.30
833,Plate,11.30
834,Plate,11.30
835,Plate,11.30
836,Plate,11.30
837,Plate,11.30
838,Plate,11.30
839,Plate,11.30
840,Plate,11.30
841,Plate,11.30
842,Plate,11.30
843,Plate,11.30
844,Plate,11.30
845,Plate,11.30
846,Plate,11.30
847,Plate,11.30
848,Plate,11.30
849,Plate,11.30
850,Plate,11.30
851,Plate,11.30
852,Plate,11.30
853,Plate,11.30
854,Plate,11.30
855,Plate,11.30
856,Plate,11.30
857,Plate,11.30
858,Plate,11.30
859,Plate,11.30
860,Plate,11.30
861,Plate,11.30
862,Plate,11.30
863,Plate,11.30
864,Plate,9.80
865,Plate,9.80
866,Plate,9.80
867,Plate,9.80
868,Plate,9.80
869,Plate,9.80
870,Plate,9.80
871,Plate,9.80
872,Plate,9.80
873,Plate,9.80
874,Plate,9.80
875,Plate,9.80
876,Plate,9.80
877,Plate,9.80
878,Plate,9.80
879,Plate,9.80
880,Plate,9.80
881,Plate,9.80
882,Plate,9.80
883,Plate,9.80
884,Plate,9.80
885,Plate,9.80
886,Plate,9.80
887,Plate,9.80
888,Plate,9.80
889,Plate,9.80
890,Plate,9.80
891,Plate,9.80
892,Plate,9.80
893,Plate,9.80
894,Plate,9.80
895,Plate,9.80
896,Plate,9.80
897,Plate,9.80
898,Plate,9.80
899,Plate,9.80
900,Plate,9.80
901,Plate,9.80
902,Plate,9.80
903,Plate,9.80
904,Plate,9.80
905,Plate,9.80
906,Plate,9.80
907,Plate,9.80
908,Plate,9.80
909,Plate,9.80
910,Plate,9.80
911,Plate,9.80
912,Plate,9.80
913,Plate,9.80
914,Plate,9.80
915,Plate,9.80
916,Plate,9.80
917,Plate,9.80
918,Plate,9.80
919,Plate,9.80
920,Plate,9.80
921,Plate,9.80
922,Plate,9.80
923,Plate,9.80
924,Plate,9.80
925,Plate,9.80
926,Plate,9.80
927,Plate,9.80
928,Plate,9.80
929,Plate,9.80
930,Plate,9.80
931,Plate,9.80
932,Plate,9.80
933,Plate,9.80
934,Plate,9.80
935,Plate,9.80
936,Plate,9.80
937,Plate,9.80
938,Plate,9.80
939,Plate,9.80
940,Plate,9.80
941,Plate,9.80
942,Plate,9.80
943,Plate,9.80
944,Plate,9.80
945,Plate,9.80
946,Plate,9.80
947,Plate,9.80
948,Plate,9.80
949,Plate,9.80
950,Plate,9.80
951,Plate,9.80
952,Plate,9.80
953,Plate,9.80
954,Plate,9.80
955,Plate,9.80
956,Plate,9.80
957,Plate,9.80
958,Plate,9.80
959,Plate,9.80
960,Plate,9.80
961,Plate,9.80
962,Plate,9.80
963,Plate,9.80
964,Plate,9.80
965,Plate,9.80
966,Plate,9.80
967,Plate,9.80
968,Plate,9.80
969,Plate,9.80
970,Plate,9.80
971,Plate,9.80
972,Plate,9.80
973,Plate,9.80
974,Plate,9.80
975,Plate,9.80
976,Plate,9.80
977,Plate,9.80
978,Plate,9.80
979,Plate,9.80
980,Plate,9.80
981,Plate,9.80
982,Plate,9.80
983,Plate,9.80
984,Plate,9.80
985,Plate,9.80
986,Plate,9.80
987,Plate,9.80
988,Plate,9.80
989,Plate,9.80
990,Plate,9.80
991,Plate,9.80
992,Plate,9.80
993,Plate,9.80
994,Plate,9.80
995,Plate,9.80
996,Plate,9.80
997,Plate,9.80
998,Plate,9.80
999,Plate,9.80
1000,Plate,9.80
1001,Plate,9.80
1002,Plate,9.80
1003,Plate,9.80
1004,Plate,9.80
1005,Plate,9.80
1006,Plate,9.80
1007,Plate,9.80
1008,Plate,9.80
1009,Plate,9.80
1010,Plate,9.80
1011,Plate,9.80
1012,Plate,9.80
1013,Plate,9.80
1014,Plate,9.80
1015,Plate,9.80
1016,Plate,9.80
1017,Plate,9.80
1018,Plate,9.80
1019,Plate,9.80
1020,Plate,9.80
1021,Plate,9.80
1022,Plate,9.80
1023,Plate,9.80
1024,Plate,11.30
1025,Plate,11.30
1026,Plate,11.30
1027,Plate,11.30
1028,Plate,11.30
1029,Plate,11.30
1030,Plate,11.30
1031,Plate,11.30
1032,Plate,11.30
1033,Plate,11.30
1034,Plate,11.30
1035,Plate,11.30
1036,Plate,11.30
1037,Plate,11.30
1038,Plate,11.30
1039,Plate,11.30
1040,Plate,11.30
1041,Plate,11.30
1042,Plate,11.30
1043,Plate,11.30
1044,Plate,11.30
1045,Plate,11.30
1046,Plate,11.30
1047,Plate,11.30
1048,Plate,11.30
1049,Plate,11.30
1050,Plate,11.30
1051,Plate,11.30
1052,Plate,11.30
1053,Plate,11.30
1054,Plate,11.30
1055,Plate,11.30
1056,Plate,9.80
1057,Plate,9.80
1058,Plate,9.80
1059,Plate,9.80
1060,Plate,9.80
1061,Plate,9.80
1062,Plate,9.80
1063,Plate,9.80
1064,Plate,9.80
1065,Plate,9.80
1066,Plate,9.80
1067,Plate,9.80
1068,Plate,9.80
1069,Plate,9.80
1070,Plate,9.80
1071,Plate,9.80
1072,Plate,9.80
1073,Plate,9.80
1074,Plate,9.80
1075,Plate,9.80
1076,Plate,9.80
1077,Plate,9.80
1078,Plate,9.80
1079,Plate,9.80
1080,Plate,9.80
1081,Plate,9.80
1082,Plate,9.80
1083,Plate,9.80
1084,Plate,9.80
1085,Plate,9.80
1086,Plate,9.80
1087,Plate,9.80
1088,Plate,9.80
1089,Plate,9.80
1090,Plate,9.80
1091,Plate,9.80
1092,Plate,9.80
1093,Plate,9.80
1094,Plate,9.80
1095,Plate,9.80
1096,Plate,9.80
1097,Plate,9.80
1098,Plate,9.80
1099,Plate,9.80
1100,Plate,9.80
1101,Plate,9.80
1102,Plate,9.80
1103,Plate,9.80
1104,Plate,9.80
1105,Plate,9.80
1106,Plate,9.80
1107,Plate,9.80
1108,Plate,9.80
1109,Plate,9.80
1110,Plate,9.80
1111,Plate,9.80
1112,Plate,9.80
1113,Plate,9.80
1114,Plate,9.80
1115,Plate,9.80
1116,Plate,9.80
1117,Plate,9.80
1118,Plate,9.80
1119,Plate,9.80
1120,Plate,9.80
1121,Plate,9.80
1122,Plate,9.80
1123,Plate,9.80
1124,Plate,9.80
1125,Plate,9.80
1126,Plate,9.80
1127,Plate,9.80
1128,Plate,9.80
1129,Plate,9.80
1130,Plate,9.80
1131,Plate,9.80
1132,Plate,9.80
1133,Plate,9.80
1134,Plate,9.80
1135,Plate,9.80
1136,Plate,9.80
1137,Plate,9.80
1138,Plate,9.80
1139,Plate,9.80
1140,Plate,9.80
1141,Plate,9.80
1142,Plate,9.80
1143,Plate,9.80
1144,Plate,9.80
1145,Plate,9.80
1146,Plate,9.80
1147,Plate,9.80
1148,Plate,9.80
1149,Plate,9.80
1150,Plate,9.80
1151,Plate,9.80
1152,Plate,9.80
1153,Plate,9.80
1154,Plate,9.80
1155,Plate,9.80
1156,Plate,9.80
1157,Plate,9.80
1158,Plate,9.80
1159,Plate,9.80
1160,Plate,9.80
1161,Plate,9.80
1162,Plate,9.80
1163,Plate,9.80
1164,Plate,9.80
1165,Plate,9.80
1166,Plate,9.80
1167,Plate,9.80
1168,Plate,9.80
1169,Plate,9.80
1170,Plate,9.80
1171,Plate,9.80
1172,Plate,9.80
1173,Plate,9.80
1174,Plate,9.80
1175,Plate,9.80
1176,Plate,9.80
1177,Plate,9.80
1178,Plate,9.80
1179,Plate,9.80
1180,Plate,9.80
1181,Plate,9.80
1182,Plate,9.80
1183,Plate,9.80
1184,Plate,9.80
1185,Plate,9.80
1186,Plate,9.80
1187,Plate,9.80
1188,Plate,9.80
1189,Plate,9.80
1190,Plate,9.80
1191,Plate,9.80
1192,Plate,9.80
1193,Plate,9.80
1194,Plate,9.80
1195,Plate,9.80
1196,Plate,9.80
1197,Plate,9.80
1198,Plate,9.80
1199,Plate,9.80
1200,Plate,9.80
1201,Plate,9.80
1202,Plate,9.80
1203,Plate,9.80
1204,Plate,9.80
1205,Plate,9.80
1206,Plate,9.80
1207,Plate,9.80
1208,Plate,9.80
1209,Plate,9.80
1210,Plate,9.80
1211,Plate,9.80
1212,Plate,9.80
1213,Plate,9.80
1214,Plate,9.80
1215,Plate,9.80
1216,Plate,11.30
1217,Plate,11.30
1218,Plate,11.30
1219,Plate,11.30
1220,Plate,11.30
1221,Plate,11.30
1222,Plate,11.30
1223,Plate,11.30
1224,Plate,11.30
1225,Plate,11.30
1226,Plate,11.30
1227,Plate,11.30
1228,Plate,11.30
1229,Plate,11.30
1230,Plate,11.30
1231,Plate,11.30
1232,Plate,11.30
1233,Plate,11.30
1234,Plate,11.30
1235,Plate,11.30
1236,Plate,11.30
1237,Plate,11.30
1238,Plate,11.30
1239,Plate,11.30
1240,Plate,11.30
1241,Plate,11.30
1242,Plate,11.30
1243,Plate,11.30
1244,Plate,11.30
1245,Plate,11.30
1246,Plate,11.30
1247,Plate,11.30
1248,Plate,9.80
1249,Plate,9.80
1250,Plate,9.80
1251,Plate,9.80
1252,Plate,9.80
1253,Plate,9.80
1254,Plate,9.80
1255,Plate,9.80
1256,Plate,9.80
1257,Plate,9.80
1258,Plate,9.80
1259,Plate,9.80
1260,Plate,9.80
1261,Plate,9.80
1262,Plate,9.80
1263,Plate,9.80
1264,Plate,9.80
1265,Plate,9.80
1266,Plate,9.80
1267,Plate,9.80
1268,Plate,9.80
1269,Plate,9.80
1270,Plate,9.80
1271,Plate,9.80
1272,Plate,9.80
1273,Plate,9.80
1274,Plate,9.80
1275,Plate,9.80
1276,Plate,9.80
1277,Plate,9.80
1278,Plate,9.80
1279,Plate,9.80
1280,Plate,9.80
1281,Plate,9.80
1282,Plate,9.80
1283,Plate,9.80
1284,Plate,9.80
1285,Plate,9.80
1286,Plate,9.80
1287,Plate,9.80
1288,Plate,9.80
1289,Plate,9.80
1290,Plate,9.80
1291,Plate,9.80
1292,Plate,9.80
1293,Plate,9.80
1294,Plate,9.80
1295,Plate,9.80
1296,Plate,9.80
1297,Plate,9.80
1298,Plate,9.80
1299,Plate,9.80
1300,Plate,9.80
1301,Plate,9.80
1302,Plate,9.80
1303,Plate,9.80
1304,Plate,9.80
1305,Plate,9.80
1306,Plate,9.80
1307,Plate,9.80
1308,Plate,9.80
1309,Plate,9.80
1310,Plate,9.80
1311,Plate,9.80
1312,Plate,9.80
1313,Plate,9.80
1314,Plate,9.80
1315,Plate,9.80
1316,Plate,9.80
1317,Plate,9.80
1318,Plate,9.80
1319,Plate,9.80
1320,Plate,9.80
1321,Plate,9.80
1322,Plate,9.80
1323,Plate,9.80
1324,Plate,9.80
1325,Plate,9.80
1326,Plate,9.80
1327,Plate,9.80
1328,Plate,9.80
1329,Plate,9.80
1330,Plate,9.80
1331,Plate,9.80
1332,Plate,9.80
1333,Plate,9.80
1334,Plate,9.80
1335,Plate,9.80
1336,Plate,9.80
1337,Plate,9.80
1338,Plate,9.80
1339,Plate,9.80
1340,Plate,9.80
1341,Plate,9.80
1342,Plate,9.80
1343,Plate,9.80
1344,Plate,9.80
1345,Plate,9.80
1346,Plate,9.80
1347,Plate,9.80
1348,Plate,9.80
1349,Plate,9.80
1350,Plate,9.80
1351,Plate,9.80
1352,Plate,9.80
1353,Plate,9.80
