OrderID,TotalCost,Items,OrderDate
73,,{4079},2024-08-15 12:46:30
74,,{375},2024-08-15 12:48:45
75,,{5089},2024-08-15 12:51:00
76,,{4655},2024-08-15 12:53:15
77,,{3786},2024-08-15 12:55:30
78,,{1229},2024-08-15 12:57:45
79,,{2005},2024-08-15 13:00:00
80,,{2172},2024-08-15 13:02:15
81,,{1977},2024-08-15 13:04:30
82,,{2904},2024-08-15 13:06:45
83,,{2744},2024-08-15 13:09:00
84,,{204},2024-08-15 13:11:15
85,,{4675},2024-08-15 13:13:30
86,,"{892, 2321, 4595}",2024-08-15 13:15:45
87,,{3115},2024-08-15 13:18:00
88,,{67},2024-08-15 13:20:15
89,,{1082},2024-08-15 13:22:30
90,,{5233},2024-08-15 13:24:45
91,,"{5014, 3385, 3595}",2024-08-15 13:27:00
92,,{2624},2024-08-15 13:29:15
93,,{2760},2024-08-15 13:31:30
94,,{477},2024-08-15 13:33:45
95,,"{3210, 3367}",2024-08-15 13:36:00
96,,{5232},2024-08-15 13:38:15
97,,{5167},2024-08-15 13:40:30
98,,"{3002, 4818}",2024-08-15 13:42:45
99,,{1335},2024-08-15 13:45:00
100,,{1868},2024-08-15 13:47:15
101,,{2734},2024-08-15 13:49:30
102,,{1867},2024-08-15 13:51:45
103,,{3771},2024-08-15 13:54:00
104,,{5225},2024-08-15 13:56:15
105,,{1791},2024-08-15 13:58:30
106,,{2343},2024-08-15 14:00:45
107,,{3456},2024-08-15 14:03:00
108,,{1086},2024-08-15 14:05:15
109,,{1585},2024-08-15 14:07:30
110,,{3373},2024-08-15 14:09:45
111,,{789},2024-08-15 14:12:00
112,,{2476},2024-08-15 14:14:15
113,,{4143},2024-08-15 14:16:30
114,,{4029},2024-08-15 14:18:45
115,,{2037},2024-08-15 14:21:00
116,,{3566},2024-08-15 14:23:15
117,,{4436},2024-08-15 14:25:30
118,,{5110},2024-08-15 14:27:45
119,,{3975},2024-08-15 14:30:00
120,,"{2275, 3198, 150}",2024-08-15 14:32:15
121,,{3011},2024-08-15 14:34:30
122,,{1898},2024-08-15 14:36:45
123,,{1217},2024-08-15 14:39:00
124,,"{4419, 2456}",2024-08-15 14:41:15
125,,{1801},2024-08-15 14:43:30
126,,{4870},2024-08-15 14:45:45
127,,{2811},2024-08-15 14:48:00
128,,{1515},2024-08-15 14:50:15
129,,"{4294, 2785}",2024-08-15 14:52:30
130,,{4328},2024-08-15 14:54:45
131,,{2518},2024-08-15 14:57:00
132,,{3499},2024-08-15 14:59:15
133,,{4270},2024-08-15 15:01:30
134,,{5073},2024-08-15 15:03:45
135,,{4679},2024-08-15 15:06:00
136,,"{854, 1831}",2024-08-15 15:08:15
137,,{252},2024-08-15 15:10:30
138,,{4362},2024-08-15 15:12:45
139,,{2980},2024-08-15 15:15:00
140,,{3384},2024-08-15 15:17:15
141,,{1453},2024-08-15 15:19:30
142,,"{2300, 4517}",2024-08-15 15:21:45
143,,{18},2024-08-15 15:24:00
144,,{4803},2024-08-15 15:26:15
145,,{4995},2024-08-15 15:28:30
146,,{4429},2024-08-15 15:30:45
147,,{4996},2024-08-15 15:33:00
148,,{4211},2024-08-15 15:35:15
149,,{5213},2024-08-15 15:37:30
150,,{1347},2024-08-15 15:39:45
151,,{2315},2024-08-15 15:42:00
152,,{67},2024-08-15 15:44:15
153,,{4453},2024-08-15 15:46:30
154,,{1912},2024-08-15 15:48:45
155,,"{4858, 1511}",2024-08-15 15:51:00
156,,{2745},2024-08-15 15:53:15
157,,{501},2024-08-15 15:55:30
158,,{1890},2024-08-15 15:57:45
159,,{853},2024-08-15 16:00:00
160,,{1171},2024-08-15 16:02:15
161,,{4735},2024-08-15 16:04:30
162,,{507},2024-08-15 16:06:45
163,,{1746},2024-08-15 16:09:00
164,,{3104},2024-08-15 16:11:15
165,,{3598},2024-08-15 16:13:30
166,,{1471},2024-08-15 16:15:45
167,,{5297},2024-08-15 16:18:00
168,,{465},2024-08-15 16:20:15
169,,{807},2024-08-15 16:22:30
170,,{3331},2024-08-15 16:24:45
171,,{2631},2024-08-15 16:27:00
172,,{674},2024-08-15 16:29:15
173,,"{1277, 336, 4583}",2024-08-15 16:31:30
174,,{4120},2024-08-15 16:33:45
175,,{787},2024-08-15 16:36:00
176,,{289},2024-08-15 16:38:15
177,,{1229},2024-08-15 16:40:30
178,,{4315},2024-08-15 16:42:45
179,,{4241},2024-08-15 16:45:00
180,,{303},2024-08-15 16:47:15
181,,{520},2024-08-15 16:49:30
182,,{1111},2024-08-15 16:51:45
183,,{2942},2024-08-15 16:54:00
184,,{2774},2024-08-15 16:56:15
185,,{3747},2024-08-15 16:58:30
186,,{4688},2024-08-15 17:00:45
187,,{2037},2024-08-15 17:03:00
188,,{2461},2024-08-15 17:05:15
189,,{2165},2024-08-15 17:07:30
190,,{4923},2024-08-15 17:09:45
191,,{4892},2024-08-15 17:12:00
192,,{1792},2024-08-15 17:14:15
193,,{3613},2024-08-15 17:16:30
194,,{3143},2024-08-15 17:18:45
195,,{569},2024-08-15 17:21:00
196,,"{1512, 1961, 3638}",2024-08-15 17:23:15
197,,{5168},2024-08-15 17:25:30
198,,{4166},2024-08-15 17:27:45
199,,{4493},2024-08-15 17:30:00
200,,{832},2024-08-15 17:32:15
201,,{2666},2024-08-15 17:34:30
202,,{4016},2024-08-15 17:36:45
203,,{1141},2024-08-15 17:39:00
204,,{2288},2024-08-15 17:41:15
205,,{5186},2024-08-15 17:43:30
206,,{4414},2024-08-15 17:45:45
207,,"{308, 3269}",2024-08-15 17:48:00
208,,{48},2024-08-15 17:50:15
209,,{956},2024-08-15 17:52:30
210,,{2595},2024-08-15 17:54:45
211,,{4629},2024-08-15 17:57:00
212,,{2706},2024-08-15 17:59:15
213,,{3813},2024-08-15 18:01:30
214,,{1722},2024-08-15 18:03:45
215,,{4572},2024-08-15 18:06:00
216,,{1134},2024-08-15 18:08:15
217,,{4199},2024-08-15 18:10:30
218,,{2721},2024-08-15 18:12:45
219,,{1512},2024-08-15 18:15:00
220,,{229},2024-08-15 18:17:15
221,,{4930},2024-08-15 18:19:30
222,,{1593},2024-08-15 18:21:45
223,,{72},2024-08-15 18:24:00
224,,{187},2024-08-15 18:26:15
225,,{5057},2024-08-15 18:28:30
226,,{1416},2024-08-15 18:30:45
227,,{2473},2024-08-15 18:33:00
228,,{4558},2024-08-15 18:35:15
229,,{5030},2024-08-15 18:37:30
230,,{4734},2024-08-15 18:39:45
231,,{687},2024-08-15 18:42:00
232,,{222},2024-08-15 18:44:15
233,,{1993},2024-08-15 18:46:30
234,,{4238},2024-08-15 18:48:45
235,,{1183},2024-08-15 18:51:00
236,,{4927},2024-08-15 18:53:15
237,,{2436},2024-08-15 18:55:30
238,,{2599},2024-08-15 18:57:45
239,,{2078},2024-08-15 19:00:00
240,,{3853},2024-08-15 19:02:15
241,,"{3018, 5166}",2024-08-15 19:04:30
242,,{3156},2024-08-15 19:06:45
243,,{460},2024-08-15 19:09:00
244,,{2117},2024-08-15 19:11:15
245,,{5257},2024-08-15 19:13:30
246,,{2537},2024-08-15 19:15:45
247,,{2700},2024-08-15 19:18:00
248,,{138},2024-08-15 19:20:15
249,,{2585},2024-08-15 19:22:30
250,,{705},2024-08-15 19:24:45
251,,{2769},2024-08-15 19:27:00
252,,{1105},2024-08-15 19:29:15
253,,"{4441, 4348}",2024-08-15 19:31:30
254,,{3017},2024-08-15 19:33:45
255,,{5277},2024-08-15 19:36:00
256,,{4703},2024-08-15 19:38:15
257,,{3223},2024-08-15 19:40:30
258,,{3676},2024-08-15 19:42:45
259,,{1839},2024-08-15 19:45:00
260,,{2020},2024-08-15 19:47:15
261,,{859},2024-08-15 19:49:30
262,,{3807},2024-08-15 19:51:45
263,,{1807},2024-08-15 19:54:00
264,,{4158},2024-08-15 19:56:15
265,,{4364},2024-08-15 19:58:30
266,,{4663},2024-08-16 10:01:52
267,,{5147},2024-08-16 10:03:44
268,,{2814},2024-08-16 10:05:36
269,,{2298},2024-08-16 10:07:28
270,,{3510},2024-08-16 10:09:20
271,,{5250},2024-08-16 10:11:12
272,,{130},2024-08-16 10:13:04
273,,{1278},2024-08-16 10:14:56
274,,{372},2024-08-16 10:16:48
275,,{3832},2024-08-16 10:18:40
276,,{4943},2024-08-16 10:20:32
277,,{5305},2024-08-16 10:22:24
278,,{3527},2024-08-16 10:24:16
279,,{4671},2024-08-16 10:26:08
280,,"{2682, 5174}",2024-08-16 10:28:00
281,,{723},2024-08-16 10:29:52
282,,{71},2024-08-16 10:31:44
283,,{972},2024-08-16 10:33:36
284,,{4751},2024-08-16 10:35:28
285,,{2570},2024-08-16 10:37:20
286,,{1897},2024-08-16 10:39:12
287,,{4475},2024-08-16 10:41:04
288,,{1657},2024-08-16 10:42:56
289,,{4382},2024-08-16 10:44:48
290,,{1997},2024-08-16 10:46:40
291,,{2105},2024-08-16 10:48:32
292,,{2369},2024-08-16 10:50:24
293,,{113},2024-08-16 10:52:16
294,,{4651},2024-08-16 10:54:08
295,,{1907},2024-08-16 10:56:00
296,,{2306},2024-08-16 10:57:52
297,,{5118},2024-08-16 10:59:44
298,,{4774},2024-08-16 11:01:36
299,,{1261},2024-08-16 11:03:28
300,,{3996},2024-08-16 11:05:20
301,,{4364},2024-08-16 11:07:12
302,,{713},2024-08-16 11:09:04
303,,"{480, 3224, 1894}",2024-08-16 11:10:56
304,,{3906},2024-08-16 11:12:48
305,,{2386},2024-08-16 11:14:40
306,,{67},2024-08-16 11:16:32
307,,"{4106, 4842}",2024-08-16 11:18:24
308,,{502},2024-08-16 11:20:16
309,,{2338},2024-08-16 11:22:08
310,,{4930},2024-08-16 11:24:00
311,,{3358},2024-08-16 11:25:52
312,,{1883},2024-08-16 11:27:44
313,,{3383},2024-08-16 11:29:36
314,,{3426},2024-08-16 11:31:28
315,,{3688},2024-08-16 11:33:20
316,,{1823},2024-08-16 11:35:12
317,,{5216},2024-08-16 11:37:04
318,,{49},2024-08-16 11:38:56
319,,"{2406, 1735, 4583}",2024-08-16 11:40:48
320,,{3459},2024-08-16 11:42:40
321,,{3513},2024-08-16 11:44:32
322,,{1620},2024-08-16 11:46:24
323,,{3563},2024-08-16 11:48:16
324,,{3637},2024-08-16 11:50:08
325,,{1079},2024-08-16 11:52:00
326,,{2146},2024-08-16 11:53:52
327,,{4779},2024-08-16 11:55:44
328,,{4297},2024-08-16 11:57:36
329,,{2853},2024-08-16 11:59:28
330,,"{3136, 3245, 3535}",2024-08-16 12:01:20
331,,{5032},2024-08-16 12:03:12
332,,{3837},2024-08-16 12:05:04
333,,{359},2024-08-16 12:06:56
334,,{4214},2024-08-16 12:08:48
335,,{3436},2024-08-16 12:10:40
336,,{4543},2024-08-16 12:12:32
337,,{3354},2024-08-16 12:14:24
338,,{5225},2024-08-16 12:16:16
339,,{2840},2024-08-16 12:18:08
340,,{819},2024-08-16 12:20:00
341,,{3184},2024-08-16 12:21:52
342,,{2467},2024-08-16 12:23:44
343,,{1386},2024-08-16 12:25:36
344,,{163},2024-08-16 12:27:28
345,,{4574},2024-08-16 12:29:20
346,,{1028},2024-08-16 12:31:12
347,,{5325},2024-08-16 12:33:04
348,,{1111},2024-08-16 12:34:56
349,,{2626},2024-08-16 12:36:48
350,,{1133},2024-08-16 12:38:40
351,,{2699},2024-08-16 12:40:32
352,,{1272},2024-08-16 12:42:24
353,,{4947},2024-08-16 12:44:16
354,,{2516},2024-08-16 12:46:08
355,,"{1335, 1052}",2024-08-16 12:48:00
356,,{732},2024-08-16 12:49:52
357,,{5283},2024-08-16 12:51:44
358,,{3279},2024-08-16 12:53:36
359,,{1974},2024-08-16 12:55:28
360,,{4688},2024-08-16 12:57:20
361,,"{1554, 223}",2024-08-16 12:59:12
362,,{2050},2024-08-16 13:01:04
363,,{2940},2024-08-16 13:02:56
364,,{1486},2024-08-16 13:04:48
365,,{2115},2024-08-16 13:06:40
366,,{1555},2024-08-16 13:08:32
367,,{2537},2024-08-16 13:10:24
368,,{321},2024-08-16 13:12:16
369,,{383},2024-08-16 13:14:08
370,,{662},2024-08-16 13:16:00
371,,{197},2024-08-16 13:17:52
372,,{5002},2024-08-16 13:19:44
373,,"{4154, 4437}",2024-08-16 13:21:36
374,,{3949},2024-08-16 13:23:28
375,,{3889},2024-08-16 13:25:20
376,,{4733},2024-08-16 13:27:12
377,,{3447},2024-08-16 13:29:04
378,,{4634},2024-08-16 13:30:56
379,,{3606},2024-08-16 13:32:48
380,,{1525},2024-08-16 13:34:40
381,,{4657},2024-08-16 13:36:32
382,,{4341},2024-08-16 13:38:24
383,,{3630},2024-08-16 13:40:16
384,,{1914},2024-08-16 13:42:08
385,,{2762},2024-08-16 13:44:00
386,,{1935},2024-08-16 13:45:52
387,,"{2692, 3945}",2024-08-16 13:47:44
388,,{4785},2024-08-16 13:49:36
389,,{5153},2024-08-16 13:51:28
390,,{1665},2024-08-16 13:53:20
391,,{5013},2024-08-16 13:55:12
392,,{2243},2024-08-16 13:57:04
393,,{4069},2024-08-16 13:58:56
394,,"{4034, 4801}",2024-08-16 14:00:48
395,,{4323},2024-08-16 14:02:40
396,,{4804},2024-08-16 14:04:32
397,,"{5106, 2772}",2024-08-16 14:06:24
398,,{1661},2024-08-16 14:08:16
399,,{4737},2024-08-16 14:10:08
400,,{5231},2024-08-16 14:12:00
401,,{2557},2024-08-16 14:13:52
402,,{2571},2024-08-16 14:15:44
403,,{5272},2024-08-16 14:17:36
404,,{324},2024-08-16 14:19:28
405,,{1808},2024-08-16 14:21:20
406,,{3304},2024-08-16 14:23:12
407,,{3994},2024-08-16 14:25:04
408,,{2725},2024-08-16 14:26:56
409,,{2016},2024-08-16 14:28:48
410,,{1170},2024-08-16 14:30:40
411,,{3618},2024-08-16 14:32:32
412,,{1749},2024-08-16 14:34:24
413,,{3262},2024-08-16 14:36:16
414,,{53},2024-08-16 14:38:08
415,,{736},2024-08-16 14:40:00
416,,{3465},2024-08-16 14:41:52
417,,{3660},2024-08-16 14:43:44
418,,{2660},2024-08-16 14:45:36
419,,{3630},2024-08-16 14:47:28
420,,{4856},2024-08-16 14:49:20
421,,{2922},2024-08-16 14:51:12
422,,"{3294, 5239, 2801}",2024-08-16 14:53:04
423,,{2732},2024-08-16 14:54:56
424,,{3497},2024-08-16 14:56:48
425,,{4945},2024-08-16 14:58:40
426,,{4450},2024-08-16 15:00:32
427,,{1149},2024-08-16 15:02:24
428,,{1671},2024-08-16 15:04:16
429,,{1797},2024-08-16 15:06:08
430,,{2665},2024-08-16 15:08:00
431,,{1115},2024-08-16 15:09:52
432,,{2820},2024-08-16 15:11:44
433,,{3456},2024-08-16 15:13:36
434,,{4595},2024-08-16 15:15:28
435,,{3483},2024-08-16 15:17:20
436,,{3842},2024-08-16 15:19:12
437,,{2521},2024-08-16 15:21:04
438,,{4932},2024-08-16 15:22:56
439,,{5070},2024-08-16 15:24:48
440,,{4363},2024-08-16 15:26:40
441,,{2764},2024-08-16 15:28:32
442,,{2404},2024-08-16 15:30:24
443,,{4121},2024-08-16 15:32:16
444,,{484},2024-08-16 15:34:08
445,,{4835},2024-08-16 15:36:00
446,,{365},2024-08-16 15:37:52
447,,"{4283, 4936}",2024-08-16 15:39:44
448,,{2602},2024-08-16 15:41:36
449,,{3526},2024-08-16 15:43:28
450,,{3300},2024-08-16 15:45:20
451,,{843},2024-08-16 15:47:12
452,,{5322},2024-08-16 15:49:04
453,,"{652, 4376}",2024-08-16 15:50:56
454,,"{1455, 2574}",2024-08-16 15:52:48
455,,{2594},2024-08-16 15:54:40
456,,{4235},2024-08-16 15:56:32
457,,{2715},2024-08-16 15:58:24
458,,{1793},2024-08-16 16:00:16
459,,{4914},2024-08-16 16:02:08
460,,{210},2024-08-16 16:04:00
461,,{1199},2024-08-16 16:05:52
462,,{4051},2024-08-16 16:07:44
463,,{4723},2024-08-16 16:09:36
464,,{4613},2024-08-16 16:11:28
465,,{1280},2024-08-16 16:13:20
466,,{4915},2024-08-16 16:15:12
467,,{2572},2024-08-16 16:17:04
468,,{122},2024-08-16 16:18:56
469,,{2929},2024-08-16 16:20:48
470,,{82},2024-08-16 16:22:40
471,,{3518},2024-08-16 16:24:32
472,,{1613},2024-08-16 16:26:24
473,,{2724},2024-08-16 16:28:16
474,,{344},2024-08-16 16:30:08
475,,{3701},2024-08-16 16:32:00
476,,{5226},2024-08-16 16:33:52
477,,{4972},2024-08-16 16:35:44
478,,{1854},2024-08-16 16:37:36
479,,{4491},2024-08-16 16:39:28
480,,{672},2024-08-16 16:41:20
481,,{3000},2024-08-16 16:43:12
482,,{3046},2024-08-16 16:45:04
483,,{2735},2024-08-16 16:46:56
484,,{3134},2024-08-16 16:48:48
485,,{1754},2024-08-16 16:50:40
486,,{4488},2024-08-16 16:52:32
487,,{336},2024-08-16 16:54:24
488,,{1611},2024-08-16 16:56:16
489,,{3864},2024-08-16 16:58:08
490,,{3893},2024-08-16 17:00:00
491,,{4563},2024-08-16 17:01:52
492,,{2636},2024-08-16 17:03:44
493,,{462},2024-08-16 17:05:36
494,,{2570},2024-08-16 17:07:28
495,,{1470},2024-08-16 17:09:20
496,,{4131},2024-08-16 17:11:12
497,,{2260},2024-08-16 17:13:04
498,,{4008},2024-08-16 17:14:56
499,,"{4631, 1857}",2024-08-16 17:16:48
500,,{2730},2024-08-16 17:18:40
501,,{1523},2024-08-16 17:20:32
502,,"{2674, 1464, 3033}",2024-08-16 17:22:24
503,,{5170},2024-08-16 17:24:16
504,,{2039},2024-08-16 17:26:08
505,,{4913},2024-08-16 17:28:00
506,,{5073},2024-08-16 17:29:52
507,,{2937},2024-08-16 17:31:44
508,,"{648, 3627, 99}",2024-08-16 17:33:36
509,,{464},2024-08-16 17:35:28
510,,{156},2024-08-16 17:37:20
511,,{5274},2024-08-16 17:39:12
512,,{5109},2024-08-16 17:41:04
513,,"{4085, 2444}",2024-08-16 17:42:56
514,,{1166},2024-08-16 17:44:48
515,,"{5307, 3340}",2024-08-16 17:46:40
516,,"{4445, 4987}",2024-08-16 17:48:32
517,,{2095},2024-08-16 17:50:24
518,,{1530},2024-08-16 17:52:16
519,,{1205},2024-08-16 17:54:08
520,,{88},2024-08-16 17:56:00
521,,{624},2024-08-16 17:57:52
522,,{4038},2024-08-16 17:59:44
523,,"{136, 96}",2024-08-16 18:01:36
524,,{3294},2024-08-16 18:03:28
525,,{335},2024-08-16 18:05:20
526,,{2286},2024-08-16 18:07:12
527,,{2634},2024-08-16 18:09:04
528,,{5030},2024-08-16 18:10:56
529,,{3328},2024-08-16 18:12:48
530,,{654},2024-08-16 18:14:40
531,,{3502},2024-08-16 18:16:32
532,,{2442},2024-08-16 18:18:24
533,,{513},2024-08-16 18:20:16
534,,{2443},2024-08-16 18:22:08
535,,{4850},2024-08-16 18:24:00
536,,"{4259, 4930}",2024-08-16 18:25:52
537,,{1847},2024-08-16 18:27:44
538,,{5237},2024-08-16 18:29:36
539,,{3645},2024-08-16 18:31:28
540,,{1399},2024-08-16 18:33:20
541,,{1454},2024-08-16 18:35:12
542,,{5258},2024-08-16 18:37:04
543,,{4561},2024-08-16 18:38:56
544,,{1676},2024-08-16 18:40:48
545,,{4946},2024-08-16 18:42:40
546,,{2746},2024-08-16 18:44:32
547,,{1939},2024-08-16 18:46:24
548,,{753},2024-08-16 18:48:16
549,,{3419},2024-08-16 18:50:08
550,,{5111},2024-08-16 18:52:00
551,,{2967},2024-08-16 18:53:52
552,,{3533},2024-08-16 18:55:44
553,,{5191},2024-08-16 18:57:36
554,,{2873},2024-08-16 18:59:28
555,,{3950},2024-08-16 19:01:20
556,,{3981},2024-08-16 19:03:12
557,,{4331},2024-08-16 19:05:04
558,,"{2375, 770}",2024-08-16 19:06:56
559,,{2839},2024-08-16 19:08:48
560,,{2696},2024-08-16 19:10:40
561,,{4350},2024-08-16 19:12:32
562,,{2033},2024-08-16 19:14:24
563,,"{895, 5257, 158}",2024-08-16 19:16:16
564,,{3023},2024-08-16 19:18:08
565,,{1058},2024-08-16 19:20:00
566,,{2521},2024-08-16 19:21:52
567,,{2189},2024-08-16 19:23:44
568,,{2621},2024-08-16 19:25:36
569,,{5245},2024-08-16 19:27:28
570,,{2392},2024-08-16 19:29:20
571,,{291},2024-08-16 19:31:12
572,,{505},2024-08-16 19:33:04
573,,{1865},2024-08-16 19:34:56
574,,{1463},2024-08-16 19:36:48
575,,{1699},2024-08-16 19:38:40
576,,{1205},2024-08-16 19:40:32
577,,{5038},2024-08-16 19:42:24
578,,"{4127, 5151}",2024-08-16 19:44:16
579,,"{2246, 3949}",2024-08-16 19:46:08
580,,{1704},2024-08-16 19:48:00
581,,{2285},2024-08-16 19:49:52
582,,{57},2024-08-16 19:51:44
583,,{819},2024-08-16 19:53:36
584,,{5248},2024-08-16 19:55:28
585,,{2513},2024-08-19 10:02:14
586,,{5176},2024-08-19 10:04:28
587,,{2046},2024-08-19 10:06:42
588,,{744},2024-08-19 10:08:56
589,,{725},2024-08-19 10:11:10
590,,{1885},2024-08-19 10:13:24
591,,{4711},2024-08-19 10:15:38
592,,{3820},2024-08-19 10:17:52
593,,{3018},2024-08-19 10:20:06
594,,{448},2024-08-19 10:22:20
595,,{1152},2024-08-19 10:24:34
596,,{4757},2024-08-19 10:26:48
597,,{3324},2024-08-19 10:29:02
598,,{3191},2024-08-19 10:31:16
599,,{1327},2024-08-19 10:33:30
600,,{2967},2024-08-19 10:35:44
601,,{456},2024-08-19 10:37:58
602,,{2210},2024-08-19 10:40:12
603,,{5274},2024-08-19 10:42:26
604,,{4714},2024-08-19 10:44:40
605,,{1022},2024-08-19 10:46:54
606,,{986},2024-08-19 10:49:08
607,,{4080},2024-08-19 10:51:22
608,,{1708},2024-08-19 10:53:36
609,,{758},2024-08-19 10:55:50
610,,{5296},2024-08-19 10:58:04
611,,{827},2024-08-19 11:00:18
612,,{2430},2024-08-19 11:02:32
613,,{3289},2024-08-19 11:04:46
614,,{4424},2024-08-19 11:07:00
615,,{1666},2024-08-19 11:09:14
616,,{4952},2024-08-19 11:11:28
617,,{3909},2024-08-19 11:13:42
618,,{2052},2024-08-19 11:15:56
619,,{4828},2024-08-19 11:18:10
620,,{3923},2024-08-19 11:20:24
621,,{3610},2024-08-19 11:22:38
622,,{3183},2024-08-19 11:24:52
623,,{2759},2024-08-19 11:27:06
624,,{1419},2024-08-19 11:29:20
625,,{3553},2024-08-19 11:31:34
626,,{2198},2024-08-19 11:33:48
627,,{467},2024-08-19 11:36:02
628,,{3772},2024-08-19 11:38:16
629,,{1020},2024-08-19 11:40:30
630,,{3549},2024-08-19 11:42:44
631,,{3629},2024-08-19 11:44:58
632,,{903},2024-08-19 11:47:12
633,,{3114},2024-08-19 11:49:26
634,,{4284},2024-08-19 11:51:40
635,,{1782},2024-08-19 11:53:54
636,,{4060},2024-08-19 11:56:08
637,,{1094},2024-08-19 11:58:22
638,,{2495},2024-08-19 12:00:36
639,,{5274},2024-08-19 12:02:50
640,,{1975},2024-08-19 12:05:04
641,,{870},2024-08-19 12:07:18
642,,{4641},2024-08-19 12:09:32
643,,"{4306, 3949}",2024-08-19 12:11:46
644,,{2299},2024-08-19 12:14:00
645,,{333},2024-08-19 12:16:14
646,,{2987},2024-08-19 12:18:28
647,,"{2777, 4650}",2024-08-19 12:20:42
648,,{748},2024-08-19 12:22:56
649,,{4472},2024-08-19 12:25:10
650,,{434},2024-08-19 12:27:24
651,,{2488},2024-08-19 12:29:38
652,,{1916},2024-08-19 12:31:52
653,,{2468},2024-08-19 12:34:06
654,,{1601},2024-08-19 12:36:20
655,,{437},2024-08-19 12:38:34
656,,"{1558, 2912}",2024-08-19 12:40:48
657,,{3697},2024-08-19 12:43:02
658,,{136},2024-08-19 12:45:16
659,,{4120},2024-08-19 12:47:30
660,,{1662},2024-08-19 12:49:44
661,,{732},2024-08-19 12:51:58
662,,{5085},2024-08-19 12:54:12
663,,{1024},2024-08-19 12:56:26
664,,{4861},2024-08-19 12:58:40
665,,{259},2024-08-19 13:00:54
666,,{1178},2024-08-19 13:03:08
667,,{4524},2024-08-19 13:05:22
668,,{1598},2024-08-19 13:07:36
669,,"{381, 3379}",2024-08-19 13:09:50
670,,{4839},2024-08-19 13:12:04
671,,{705},2024-08-19 13:14:18
672,,{2952},2024-08-19 13:16:32
673,,{3966},2024-08-19 13:18:46
674,,{2274},2024-08-19 13:21:00
675,,{150},2024-08-19 13:23:14
676,,"{83, 102, 1898}",2024-08-19 13:25:28
677,,{521},2024-08-19 13:27:42
678,,{236},2024-08-19 13:29:56
679,,"{699, 1645, 3872}",2024-08-19 13:32:10
680,,{1860},2024-08-19 13:34:24
681,,{1823},2024-08-19 13:36:38
682,,{240},2024-08-19 13:38:52
683,,{1603},2024-08-19 13:41:06
684,,{5039},2024-08-19 13:43:20
